DateTime,Rg,Rn,Tair,RH,P,SHF,TS,SWC,n_SHF,n_TS,n_SWC,RG_1_1_1,RN_1_1_1
2025-01-02T05:30:00Z,-4.93094e-6,-10.381,269.896,77.1175,0,-11.591140000000001,275.69966666666664,0.286862,2,3,2,-4.93094e-6,-10.381
2025-01-02T06:00:00Z,-1.66665e-4,-10.9914,269.724,75.3337,0,-11.711125000000001,275.677,0.28667750000000003,2,3,2,-1.66665e-4,-10.9914
2025-01-02T06:30:00Z,4.14197e-5,-12.0016,269.565,73.4622,0,-11.7736,275.654,0.2865405,2,3,2,4.14197e-5,-12.0016
2025-01-02T07:00:00Z,8.87562e-6,-13.714,269.405,71.9224,0,-11.848965,275.63100000000003,0.286388,2,3,2,8.87562e-6,-13.714
2025-01-02T07:30:00Z,4.04335e-5,-11.782,269.303,73.3272,0,-11.868075,275.608,0.28623200000000004,2,3,2,4.04335e-5,-11.782
2025-01-02T08:00:00Z,-9.12211e-6,-11.2113,269.165,74.7104,0,-11.860105,275.58566666666667,0.286086,2,3,2,-9.12211e-6,-11.2113
2025-01-02T08:30:00Z,-1.38559e-4,-10.9174,269.076,75.3364,0,-11.79099,275.56466666666665,0.285939,2,3,2,-1.38559e-4,-10.9174
2025-01-02T09:00:00Z,7.14983e-5,-11.6262,268.93,78.8268,0,-11.76249,275.54533333333336,0.28577600000000003,2,3,2,7.14983e-5,-11.6262
2025-01-02T09:30:00Z,9.56598e-5,-11.5535,268.645,77.7127,0,-11.900575,275.52433333333335,0.285628,2,3,2,9.56598e-5,-11.5535
2025-01-02T10:00:00Z,7.69223e-5,-12.2469,268.609,75.9557,0,-11.94936,275.501,0.28545299999999996,2,3,2,7.69223e-5,-12.2469
2025-01-02T10:30:00Z,-5.04942e-5,-12.0446,268.419,75.5421,0,-12.01377,275.4773333333333,0.2852735,2,3,2,-5.04942e-5,-12.0446
2025-01-02T11:00:00Z,-2.04632e-5,-12.8415,268.249,75.9485,0,-12.07409,275.454,0.2851045,2,3,2,-2.04632e-5,-12.8415
2025-01-02T11:30:00Z,-4.93092e-5,-11.7466,268.197,73.5523,0,-12.089495,275.43,0.28493999999999997,2,3,2,-4.93092e-5,-11.7466
2025-01-02T12:00:00Z,-1.38805e-4,-12.7813,268.045,75.2945,0,-12.13761,275.40566666666666,0.284758,2,3,2,-1.38805e-4,-12.7813
2025-01-02T12:30:00Z,2.91664e-4,-12.1846,267.985,77.6094,0,-12.13919,275.38233333333335,0.2845745,2,3,2,2.91664e-4,-12.1846
2025-01-02T13:00:00Z,0.0452466,-12.9461,267.922,79.3567,0,-12.117065,275.3616666666667,0.284413,2,3,2,0.0452466,-12.9461
2025-01-02T13:30:00Z,0.867479,-11.9693,267.975,79.1469,0,-12.100404999999999,275.34233333333333,0.2842495,2,3,2,0.867479,-11.9693
2025-01-02T14:00:00Z,5.11492,-9.20058,268.048,80.0504,0,-12.054124999999999,275.32466666666664,0.28409150000000005,2,3,2,5.11492,-9.20058
2025-01-02T14:30:00Z,14.7438,-6.13804,268.111,79.7594,0,-12.028805,275.308,0.28393599999999997,2,3,2,14.7438,-6.13804
2025-01-02T15:00:00Z,30.2138,0.762116,268.013,76.1709,0,-12.041224999999999,275.292,0.2837695,2,3,2,30.2138,0.762116
2025-01-02T15:30:00Z,33.2237,1.32433,267.868,78.3291,0,-12.044005,275.2753333333333,0.283615,2,3,2,33.2237,1.32433
2025-01-02T16:00:00Z,45.566,5.7052,267.858,76.9312,0,-11.974355,275.26033333333334,0.283466,2,3,2,45.566,5.7052
2025-01-02T16:30:00Z,64.7598,13.8258,267.943,75.6563,0,-11.986355,275.2456666666667,0.2833175,2,3,2,64.7598,13.8258
2025-01-02T17:00:00Z,83.3259,20.068,267.983,76.3289,0,-11.949875,275.2323333333333,0.283181,2,3,2,83.3259,20.068
2025-01-02T17:30:00Z,109.471,30.8785,268.126,76.3499,0,-11.82291,275.2203333333334,0.283056,2,3,2,109.471,30.8785
2025-01-02T18:00:00Z,109.324,33.2127,268.284,76.4692,0,-11.634900000000002,275.211,0.2829725,2,3,2,109.324,33.2127
2025-01-02T18:30:00Z,95.2052,26.741,268.547,76.7412,0,-11.483865000000002,275.20433333333335,0.28288199999999997,2,3,2,95.2052,26.741
2025-01-02T19:00:00Z,84.0848,22.2588,268.774,76.2488,0,-11.39751,275.1993333333333,0.2828235,2,3,2,84.0848,22.2588
2025-01-02T19:30:00Z,83.4092,21.7336,268.941,75.8591,0,-11.38954,275.19466666666665,0.2827645,2,3,2,83.4092,21.7336
2025-01-02T20:00:00Z,84.6052,23.6121,269.116,75.4874,0,-11.349045,275.19,0.28269500000000003,2,3,2,84.6052,23.6121
2025-01-02T20:30:00Z,79.1219,22.5511,269.129,74.9029,0,-11.32532,275.1843333333333,0.2826415,2,3,2,79.1219,22.5511
2025-01-02T21:00:00Z,64.1536,15.3942,269.06,73.5974,0,-11.33935,275.179,0.282578,2,3,2,64.1536,15.3942
2025-01-02T21:30:00Z,48.1932,6.75063,269.141,73.7339,0,-11.31802,275.173,0.2825105,2,3,2,48.1932,6.75063
2025-01-02T22:00:00Z,25.4593,-14.3138,269.226,73.1236,0,-11.369605,275.16700000000003,0.28242449999999997,2,3,2,25.4593,-14.3138
2025-01-02T22:30:00Z,6.97958,-51.8499,269.028,73.9033,0,-11.52483,275.15866666666665,0.282298,2,3,2,6.97958,-51.8499
2025-01-02T23:00:00Z,0.527796,-55.1001,268.532,75.6725,0,-11.71087,275.14733333333334,0.28213750000000004,2,3,2,0.527796,-55.1001
2025-01-02T23:30:00Z,9.66213e-4,-14.665,268.367,77.12,0,-11.880580000000002,275.1306666666667,0.28198350000000005,2,3,2,9.66213e-4,-14.665
2025-01-03T00:00:00Z,3.18044e-5,-12.325,268.603,77.109,0,-11.76108,275.11133333333333,0.28183749999999996,2,3,2,3.18044e-5,-12.325
2025-01-03T01:00:00Z,8.55513e-5,-14.5471,268.715,83.0378,0,-11.55038,275.082,0.281549,2,3,2,8.55513e-5,-14.5471
2025-01-03T01:30:00Z,-3.52561e-5,-15.1443,268.634,85.3479,0,-11.444859999999998,275.07166666666666,0.2814365,2,3,2,-3.52561e-5,-15.1443
2025-01-03T02:00:00Z,-2.58874e-5,-19.2547,268.652,88.4073,0,-11.36494,275.063,0.2813135,2,3,2,-2.58874e-5,-19.2547
2025-01-03T02:30:00Z,-7.19913e-5,-10.9376,268.626,95.3167,0,-11.299335,275.05533333333335,0.281202,2,3,2,-7.19913e-5,-10.9376
2025-01-03T03:00:00Z,1.34121e-4,-11.5887,268.597,99.9858,0,-11.210995,275.04766666666666,0.2810915,2,3,2,1.34121e-4,-11.5887
2025-01-03T03:30:00Z,5.99106e-5,-12.8658,268.676,100.017,0,-11.135625000000001,275.04066666666665,0.2809875,2,3,2,5.99106e-5,-12.8658
2025-01-03T04:00:00Z,-2.32246e-4,-10.5246,268.657,100.015,0,-11.077635,275.035,0.2809005,2,3,2,-2.32246e-4,-10.5246
2025-01-03T04:30:00Z,-1.03796e-4,-9.64376,268.737,100.017,0,-11.010955,275.02933333333334,0.2808225,2,3,2,-1.03796e-4,-9.64376
2025-01-03T05:00:00Z,-3.2544e-5,-9.51734,268.875,98.9936,0,-10.946435,275.02366666666666,0.28074299999999996,2,3,2,-3.2544e-5,-9.51734
2025-01-03T05:30:00Z,9.78786e-5,-10.2516,268.917,90.3304,0,-10.903839999999999,275.01866666666666,0.280696,2,3,2,9.78786e-5,-10.2516
2025-01-03T06:00:00Z,9.44271e-5,-10.2949,268.847,87.3859,0,-10.854465,275.01433333333335,0.2806305,2,3,2,9.44271e-5,-10.2949
2025-01-03T06:30:00Z,8.8757e-6,-9.87584,268.435,86.9254,0,-10.816980000000001,275.01,0.280556,2,3,2,8.8757e-6,-9.87584
2025-01-03T07:00:00Z,8.28394e-5,-10.9428,268.146,86.84,0,-10.784125,275.00533333333334,0.280492,2,3,2,8.28394e-5,-10.9428
2025-01-03T07:30:00Z,-5.17746e-5,-9.98154,267.904,90.278,0,-10.77017,275,0.2804415,2,3,2,-5.17746e-5,-9.98154
2025-01-03T08:00:00Z,7.96343e-5,-11.6091,267.69,87.4241,0,-10.755425,274.99466666666666,0.280391,2,3,2,7.96343e-5,-11.6091
2025-01-03T08:30:00Z,2.6627e-4,-13.5871,267.642,84.6244,0,-10.71396,274.98966666666666,0.2803245,2,3,2,2.6627e-4,-13.5871
2025-01-03T09:00:00Z,1.58529e-4,-14.763,267.576,81.8866,0,-10.701315,274.98333333333335,0.2802255,2,3,2,1.58529e-4,-14.763
2025-01-03T09:30:00Z,9.88649e-5,-15.0127,267.438,82.8848,0,-10.68777,274.9773333333333,0.28013299999999997,2,3,2,9.88649e-5,-15.0127
2025-01-03T10:00:00Z,3.94472e-5,-15.2704,267.348,83.8945,0,-10.682895,274.97066666666666,0.2800545,2,3,2,3.94472e-5,-15.2704
2025-01-03T10:30:00Z,2.2485e-4,-14.4891,267.197,85.8253,0,-10.689835,274.9633333333333,0.2799545,2,3,2,2.2485e-4,-14.4891
2025-01-03T11:00:00Z,1.94771e-5,-7.7859,267.036,91.4653,0,-10.686095,274.955,0.279834,2,3,2,1.94771e-5,-7.7859
