event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_fetch_excluded,flag_remove_high_positive,flag_impossible,auto_remove_nee,decision,reason
LD_high_night_20250305_0430,high_night,LD,2025-03-05T09:30:00Z,108.87016,108.87016,108.87016,0,0.536994,NA,101.021,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
LD_high_night_20250305_0700,high_night,LD,2025-03-05T12:00:00Z,106.13917,106.13917,106.13917,0.0231045,0.445614,NA,131.328,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
LD_high_day_20250330_1100,high_day,LD,2025-03-30T15:00:00Z,53.19022,53.19022,53.19022,45.9622,0.151253,NA,104.949,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,trend
LD_high_day_20250330_1130,high_day,LD,2025-03-30T15:30:00Z,73.7844,73.7844,73.7844,69.7347,0.24795,NA,108.648,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,trend
LD_high_night_20250413_2230,high_night,LD,2025-04-14T02:30:00Z,59.8435,59.8435,59.8435,0,0.683907,0.468155,161.249,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_day_20250415_0900,high_day,LD,2025-04-15T13:00:00Z,69.94688,69.94688,69.94688,104.565,0.778781,0.0422242,297.651,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_night_20250419_0030,high_night,LD,2025-04-19T04:30:00Z,97.8405,97.8405,97.8405,8.18E-04,0.43508,0.178108,230.8,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_day_20250501_1130,high_day,LD,2025-05-01T15:30:00Z,69.11992,69.11992,69.11992,67.6119,0.779759,NA,95.2247,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
LD_high_day_20250501_1300,high_day,LD,2025-05-01T17:00:00Z,54.4857435,54.4857435,54.4857435,72.3742,0.627256,NA,104.916,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
LD_high_night_20250513_0300,high_night,LD,2025-05-13T07:00:00Z,72.24805,72.24805,72.24805,0,0.235673,0.101697,115.145,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
