event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_transition,is_night,low_ustar,flag_fetch_excluded,flag_extreme_negative,auto_remove_nee,decision,reason
LD_large_negative_night_20250123_0630,large_negative_night,LD,2025-01-23T11:30:00Z,-33.1913,-33.1913,-33.1913,2.96E-04,0.212728,0.00573858,233.835,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_transition_20250227_1730,large_negative_transition,LD,2025-02-27T22:30:00Z,-33.497077,-33.497077,-33.497077,12.1045,0.432599,0.0849487,283.09,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20250304_0700,large_negative_night,LD,2025-03-04T12:00:00Z,-31.02102,-31.02102,-31.02102,0.00893038,0.22411,0.0903306,144.301,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20250305_0100,large_negative_night,LD,2025-03-05T06:00:00Z,-36.0196,-36.0196,-36.0196,0,0.403293,NA,92.675,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,coherent ossilation
LD_large_negative_night_20250330_1930,large_negative_night,LD,2025-03-30T23:30:00Z,-33.14554,-33.14554,-33.14554,5.94381,0.55979,NA,215.593,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,extereme ossilation
LD_large_negative_night_20250413_0730,large_negative_night,LD,2025-04-13T11:30:00Z,-36.35111,-36.35111,-36.35111,2.21575,0.211551,0.241821,125.723,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,morning transition
LD_large_negative_night_20250413_2330,large_negative_night,LD,2025-04-14T03:30:00Z,-33.36441,-33.36441,-33.36441,0,0.426987,0.276381,138.408,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
LD_large_negative_night_20250418_0300,large_negative_night,LD,2025-04-18T07:00:00Z,-32.72579,-32.72579,-32.72579,0,0.548301,0.761639,140.424,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20250418_1130,large_negative_night,LD,2025-04-18T15:30:00Z,-48.06218,-48.06218,-48.06218,4.5003,0.705573,NA,290.01,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
LD_large_negative_transition_20250418_1200,large_negative_transition,LD,2025-04-18T16:00:00Z,-31.96068,-31.96068,-31.96068,33.722,0.569759,NA,170.597,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,trend
LD_large_negative_night_20250419_0100,large_negative_night,LD,2025-04-19T05:00:00Z,-34.1905664,-34.1905664,-34.1905664,0,0.372321,0.0701339,250.944,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
LD_large_negative_night_20250420_0300,large_negative_night,LD,2025-04-20T07:00:00Z,-31.5774,-31.5774,-31.5774,0,0.164728,NA,142.061,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
LD_large_negative_night_20250424_0600,large_negative_night,LD,2025-04-24T10:00:00Z,-31.668628,-31.668628,-31.668628,0,0.152422,0.252365,210.894,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,transition
LD_large_negative_night_20250505_2200,large_negative_night,LD,2025-05-06T02:00:00Z,-33.46615,-33.46615,-33.46615,0.00275096,0.192338,0.430568,246.842,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20250605_0030,large_negative_night,LD,2025-06-05T04:30:00Z,-38.890843,-38.890843,-38.890843,0,0.142802,2.13E-04,154.015,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
LD_large_negative_night_20250611_2230,large_negative_night,LD,2025-06-12T02:30:00Z,-30.06412,-30.06412,-30.06412,0.0031511,0.15195,0.538666,247.469,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,moderate trend
