site,DateTime,NEE_raw,NEE_lag,NEE_lead,Rg,Tair,Ustar,low_ustar,qc_co2_flux,signal_strength,wind_dir,remove_nee_auto,manual_decision_neg,manual_reason_neg
LD,2025-01-03T02:30:00Z,-7.2636999999999965,0.38103580000000004,5.13331,0,-4.524000000000001,0.180728,FALSE,0,42,205.469,FALSE,NA,NA
LD,2025-01-03T03:30:00Z,-6.6930000000000005,5.13331,-13.602689999999999,5.99106e-5,-4.4739999999999895,0.112617,FALSE,1,35,239.179,FALSE,NA,NA
LD,2025-01-03T04:00:00Z,-13.602689999999999,-6.6930000000000005,-4.931377,0,-4.492999999999995,0.143597,FALSE,0,57,237.334,FALSE,NA,NA
LD,2025-01-11T02:00:00Z,-14.284469999999999,1.0467359999999999,10.34765,4.889e-4,-3.947999999999979,0.303905,FALSE,2,87,184.641,FALSE,NA,NA
LD,2025-01-12T23:00:00Z,-16.78717,8.01266,-21.60683,0.518756,-0.5039999999999623,0.570206,FALSE,1,5,192.821,FALSE,NA,NA
LD,2025-01-12T23:30:00Z,-21.60683,-16.78717,1.584715,0.00259046,-0.32099999999996953,0.493134,FALSE,2,26,194.296,FALSE,NA,NA
LD,2025-01-13T00:30:00Z,-19.126170000000002,1.584715,1.4812700000000003,3.09415e-4,0.36100000000004684,0.439804,FALSE,2,64,219.936,FALSE,NA,NA
LD,2025-01-21T06:30:00Z,-22.8068,7.826504,25.597299999999997,4.46248e-5,-16.57299999999998,0.189739,FALSE,2,32,275.731,FALSE,NA,NA
LD,2025-01-21T08:30:00Z,-9.9088,0.573374,2.78414,7.29777e-5,-16.63499999999999,0.230278,FALSE,2,NA,263.46,FALSE,NA,NA
LD,2025-01-21T10:30:00Z,-5.4252400000000005,-3.959469,-13.27812,2.14002e-4,-17.36899999999997,0.256452,FALSE,2,7,273.337,FALSE,NA,NA
LD,2025-01-21T11:00:00Z,-13.27812,-5.4252400000000005,-2.61096,1.18835e-4,-17.59099999999998,0.266046,FALSE,1,7,286.483,FALSE,NA,NA
LD,2025-01-21T12:30:00Z,-10.311440000000001,-3.3638,-4.8628599999999995,7.55416e-4,-18.085999999999984,0.298991,FALSE,2,13,279.368,FALSE,NA,NA
LD,2025-01-23T11:00:00Z,-15.646090000000001,2.3707339999999997,-33.1913,3.34069e-4,-7.041999999999973,0.13462,FALSE,1,72,198.423,FALSE,NA,NA
LD,2025-02-03T04:00:00Z,-8.011113,0.647444,4.24922,0,0.10500000000001819,0.154251,FALSE,2,67,173.162,FALSE,NA,NA
LD,2025-02-13T09:00:00Z,-9.91263,-0.02581100000000003,-1.63841,0.0013634,-7.343999999999994,0.353903,FALSE,1,95,314.5,FALSE,NA,NA
LD,2025-02-17T05:30:00Z,-9.51088,0.2400111,2.26973702,2.90184e-4,-8.83299999999997,0.499298,FALSE,0,100,311.824,FALSE,NA,NA
LD,2025-02-26T04:00:00Z,-7.243119,-1.736981,-0.34240799999999993,0,0.4430000000000405,0.197907,FALSE,1,100,219.861,FALSE,NA,NA
LD,2025-02-26T11:00:00Z,-5.75347,-1.09997,1.898495,3.0818e-5,-1.9529999999999745,0.121218,FALSE,1,99,121.206,FALSE,NA,NA
LD,2025-02-28T22:30:00Z,-5.53553,1.1713975,-9.472482999999999,9.60718,6.242000000000019,0.272211,FALSE,2,96,254.68,FALSE,NA,NA
LD,2025-02-28T23:00:00Z,-9.472482999999999,-5.53553,8.94799,8.09967,6.256000000000029,0.633975,FALSE,2,98,278.114,FALSE,NA,NA
LD,2025-03-01T01:00:00Z,-11.200312,2.1867999,-15.650900000000002,0,4.378000000000043,1.22731,FALSE,2,100,301.125,FALSE,NA,NA
LD,2025-03-01T01:30:00Z,-15.650900000000002,-11.200312,-1.6340148,0,2.8570000000000277,0.955031,FALSE,2,84,301.424,FALSE,NA,NA
LD,2025-03-04T01:00:00Z,-15.38418,5.0147200000000005,-16.05794,0,2.282000000000039,0.36623,FALSE,2,59,160.275,FALSE,NA,NA
LD,2025-03-04T01:30:00Z,-16.05794,-15.38418,0.24726599999999999,0,2.2760000000000105,0.389165,FALSE,2,95,168.584,FALSE,NA,NA
LD,2025-03-04T09:30:00Z,-14.276860000000001,1.2112209999999999,6.50539,0,3.2690000000000055,0.280919,FALSE,1,85,165.813,FALSE,NA,NA
LD,2025-03-04T23:30:00Z,-15.55035,-0.5501199999999997,1.900083,2.56766,6.040999999999997,0.144166,FALSE,0,21,111.165,FALSE,NA,NA
LD,2025-03-05T00:30:00Z,-11.411261999999999,1.900083,-2.20026,7.62566e-4,5.835000000000036,0.149671,FALSE,1,25,117.581,FALSE,NA,NA
LD,2025-03-05T02:30:00Z,-5.869809999999999,12.38267,1.6058599999999998,0,5.4150000000000205,0.168875,FALSE,1,13,107.673,FALSE,NA,NA
LD,2025-03-05T06:00:00Z,-36.0196,7.834890000000001,16.296364999999998,0,5.652000000000044,0.403293,FALSE,1,13,92.675,FALSE,keep,coherent ossilation
LD,2025-03-05T09:00:00Z,-17.672150000000002,7.115648,108.87016,0,6.497000000000014,0.514797,FALSE,1,15,97.4804,FALSE,NA,NA
LD,2025-03-05T11:30:00Z,-26.06904,-178.35563000000002,106.13917000000001,0,7.748000000000047,0.522482,FALSE,1,13,115.817,FALSE,NA,NA
LD,2025-03-06T02:00:00Z,-12.03438,12.068539999999999,-1.7855431000000002,1.10945e-5,-1.2489999999999668,0.964628,FALSE,2,86,297.284,FALSE,NA,NA
LD,2025-03-16T05:00:00Z,-11.940301,-1.07754,20.993769999999998,0,6.254000000000019,0.306771,FALSE,0,75,295.815,FALSE,NA,NA
LD,2025-03-16T12:00:00Z,-17.031768,8.51777,-21.60695,0.0561086,2.492999999999995,0.363879,FALSE,1,72,282.697,FALSE,NA,NA
LD,2025-03-16T13:00:00Z,-19.948995999999998,-21.60695,-0.7175800000000001,8.57924,1.9890000000000327,0.410001,FALSE,1,58,313.273,FALSE,NA,NA
LD,2025-03-20T02:30:00Z,-26.90746,-0.5591697,3.43932,0,12.735000000000014,0.729182,FALSE,1,63,209.575,FALSE,NA,NA
LD,2025-03-22T02:30:00Z,-12.079312,3.0077063,-0.89947,0,10.442000000000007,0.857114,FALSE,2,91,231.71,FALSE,NA,NA
LD,2025-11-01T06:00:00Z,-16.677289000000002,-2.932948,-19.731059000000002,0,4.121000000000038,0.177785,FALSE,1,100,213.544,FALSE,NA,NA
LD,2025-11-01T06:30:00Z,-19.731059000000002,-16.677289000000002,4.33758,0,4.703000000000031,0.161517,FALSE,2,100,218.399,FALSE,NA,NA
LD,2025-11-01T08:00:00Z,-7.750649999999999,-4.126374,-44.42199,0,2.4350000000000023,0.105336,FALSE,1,98,95.9938,FALSE,NA,NA
LD,2025-11-01T11:30:00Z,-20.304380000000002,21.265093,-1.488154,6.82931e-5,1.438000000000045,0.1005,FALSE,1,38,119.85,FALSE,NA,NA
LD,2025-11-01T23:00:00Z,-8.98877,2.052445,-2.0701039999999997,2.01688,5.984000000000037,0.150174,FALSE,1,100,186.296,FALSE,NA,NA
LD,2025-11-02T07:00:00Z,-7.910800000000002,16.052410000000002,73.3053,2.88705e-4,1.080000000000041,0.146129,FALSE,2,27,136.035,FALSE,NA,NA
LD,2025-11-02T10:30:00Z,-37.2159,-1.3900080000000001,-20.487396,0,-1.6739999999999782,0.107087,FALSE,1,19,152.651,FALSE,keep,trend
LD,2025-11-02T11:00:00Z,-20.487396,-37.2159,3.601779,0,-1.2860000000000014,0.124338,FALSE,1,20,117.663,FALSE,NA,NA
LD,2025-11-11T06:30:00Z,-21.17089,6.640713,8.55006,1.32642e-4,-2.36099999999999,0.226857,FALSE,1,79,263.592,FALSE,NA,NA
LD,2025-11-12T10:00:00Z,-12.899989999999999,0.61679,0.27798999999999996,0,6.754000000000019,0.457555,FALSE,2,92,268.522,FALSE,NA,NA
LD,2025-11-13T11:30:00Z,-5.0928099,-0.04200699999999999,2.1632291,9.66459e-5,2.840000000000032,0.3158,FALSE,0,100,255.95,FALSE,NA,NA
LD,2025-11-24T03:30:00Z,-9.63087,7.631220000000001,2.5579236,0,1.4360000000000355,0.194024,FALSE,1,100,134.717,FALSE,NA,NA
LD,2025-11-24T11:30:00Z,-8.11949,0.8740199999999998,2.8005,0,-0.012999999999976808,0.296506,FALSE,1,91,142.461,FALSE,NA,NA
LD,2025-11-26T06:00:00Z,-15.756499999999999,86.5088,-17.44718,0,8.5,0.367438,FALSE,2,NA,190.719,FALSE,NA,NA
LD,2025-11-26T06:30:00Z,-17.44718,-15.756499999999999,-119.3805,0,8.498000000000047,0.382838,FALSE,2,0,180.187,FALSE,NA,NA
LD,2025-11-26T09:30:00Z,-14.00649,-1.4398799999999998,-1.8473399999999995,0,4.184000000000026,0.438159,FALSE,2,70,232.899,FALSE,NA,NA
LD,2025-11-26T11:00:00Z,-8.12391,2.13906,2.917261,0,3.5340000000000487,0.840795,FALSE,2,100,221.835,FALSE,NA,NA
LD,2025-11-29T06:00:00Z,-7.233852000000001,-4.1299790000000005,0.5833699999999999,0,-3.822999999999979,0.124621,FALSE,1,100,121.042,FALSE,NA,NA
LD,2025-11-29T07:30:00Z,-13.938448000000001,-1.105251,3.368058,3.89543e-5,-3.853999999999985,0.152335,FALSE,1,100,133.646,FALSE,NA,NA
LD,2025-12-03T22:30:00Z,-6.35791,4.1874007,0.43679999999999986,0.807292,-1.7059999999999604,0.304726,FALSE,2,52,282.421,FALSE,NA,NA
LD,2025-12-04T01:00:00Z,-6.69544,-0.36775999999999964,6.36715,6.26473e-4,-1.9839999999999804,0.495568,FALSE,2,86,285.94,FALSE,NA,NA
LD,2025-12-18T11:30:00Z,-26.201839999999997,49.175200000000004,-16.45309,0,3.8110000000000355,0.644348,FALSE,2,48,154.354,FALSE,NA,NA
LD,2025-12-18T12:00:00Z,-16.45309,-26.201839999999997,55.69837,0,3.8660000000000423,0.585467,FALSE,2,57,158.082,FALSE,NA,NA
LD,2025-12-18T21:30:00Z,-28.90558,-50.622580000000006,-30.92869,5.24268,7.536000000000001,0.62717,FALSE,0,39,158.143,FALSE,NA,NA
LD,2025-12-18T22:00:00Z,-30.92869,-28.90558,-54.56208,4.43832,7.721000000000004,0.691623,FALSE,2,32,167.233,FALSE,keep,trend
LD,2025-12-18T23:00:00Z,-12.765419999999999,-54.56208,140.81118999999998,0.0079792,8.270000000000039,0.740004,FALSE,2,49,214.108,FALSE,NA,NA
LD,2025-12-19T03:30:00Z,-5.444939999999999,-101.96866999999999,-0.5010399999999997,0,2.066000000000031,0.699587,FALSE,0,96,244.912,FALSE,NA,NA
LD,2025-12-23T02:30:00Z,-15.929692999999999,0.9281010000000001,68.1624,0,2.7660000000000196,0.504013,FALSE,2,100,160.066,FALSE,NA,NA
LD,2025-12-23T04:00:00Z,-16.36978,42.14898,-0.06853200000000004,0,2.934000000000026,0.459818,FALSE,2,100,166.56,FALSE,NA,NA
LD,2025-12-23T06:00:00Z,-18.637286,-1.2089590000000001,22.42299,0,1.927000000000021,0.324774,FALSE,2,100,153.647,FALSE,NA,NA
LD,2025-12-23T11:00:00Z,-7.692959999999999,-1.370625,0.7407199999999998,0,2.177000000000021,0.197688,FALSE,2,97,194.081,FALSE,NA,NA
LD,2025-12-25T06:00:00Z,-6.574556,-2.582191,-6.0789,0,0.8070000000000164,0.100208,FALSE,1,100,153.44,FALSE,NA,NA
LD,2025-12-26T09:30:00Z,-24.81697,2.3704359999999998,47.4594,4.26524e-5,-1.2439999999999714,0.511012,FALSE,1,98,95.2927,FALSE,NA,NA
LD,2025-12-26T12:00:00Z,-28.68178,-0.9181810000000001,NA,0,-0.4399999999999977,0.424999,FALSE,1,13,99.3137,FALSE,NA,NA
LD,2025-12-28T08:00:00Z,-8.08376,18.91942,4.62807,0,-0.2319999999999709,0.477009,FALSE,1,52,103.295,FALSE,NA,NA
LD,2025-12-29T02:30:00Z,-8.55245,11.318,-19.67175,0,3.5720000000000027,0.22199,FALSE,2,26,150.425,FALSE,NA,NA
LD,2025-12-29T03:00:00Z,-19.67175,-8.55245,-25.47,0,4.5049999999999955,0.529784,FALSE,1,41,236.067,FALSE,NA,NA
LD,2025-12-29T03:30:00Z,-25.47,-19.67175,26.186149999999998,0,3.563000000000045,0.690648,FALSE,1,83,250.768,FALSE,NA,NA
LD,2025-12-29T12:30:00Z,-6.207076,-3.282618,2.1312740000000003,3.82146e-4,-2.8009999999999877,0.985131,FALSE,1,100,294.481,FALSE,NA,NA
LD,2025-12-31T03:00:00Z,-16.5276,23.455689999999997,32.70479,0.00115605,-7.48599999999999,0.122741,FALSE,1,59,225.995,FALSE,NA,NA
LD,2025-12-31T06:30:00Z,-6.6885900000000005,13.15551,-4.63616,3.97185e-4,-7.100999999999999,0.194032,FALSE,2,NA,268.961,FALSE,NA,NA
MD,2025-01-03T05:00:00Z,-6.4670190000000005,0.58096,0.6272760000000002,0,-4.274999999999977,0.290151,FALSE,0,100,303.144,FALSE,NA,NA
MD,2025-01-11T04:30:00Z,-8.06988,-4.440440000000001,-7.910400000000001,0.00119698,-4.036000000000001,0.145117,FALSE,2,67,210.591,FALSE,NA,NA
MD,2025-01-11T05:00:00Z,-7.910400000000001,-8.06988,-2.016549,8.47378e-4,-4.036000000000001,0.178204,FALSE,2,72,216.689,FALSE,NA,NA
MD,2025-01-20T12:30:00Z,-9.03789,10.41441,-2.8482899999999995,0.0024122,-16.58099999999996,0.317167,FALSE,2,49,278.82,FALSE,NA,NA
