site,DateTime,NEE_raw,NEE_lag,NEE_lead,Rg,Tair,Ustar,qc_co2_flux,signal_strength,wind_dir,decision,reason
LD,1/2/25 21:30,-7.2637,0.38103580000000004,5.13331,0,-4.524,0.180728,0,42,205.469,remove,"Modest winter-night NEE (-7.26); immediate neighbors 0.38/5.13; plot shows an isolated excursion (context -13.63 to 5.13); signal low (42); QC 0; u* 0.181. Preliminary removal because weak signal, isolated reversal, u* near/below the 0.19 review reference indicate artifact risk."
LD,1/2/25 22:30,-6.693,5.13331,-13.60269,5.99106e-5,-4.474,0.112617,1,35,239.179,remove,"Modest winter-night NEE (-6.69); immediate neighbors 5.13/-13.60; plot shows a coherent run of 2 half-hours below -5 (context -13.60 to 5.13); signal very low (35); QC 1; u* 0.113. Preliminary removal because weak signal, u* near/below the 0.19 review reference indicate artifact risk."
LD,1/2/25 23:00,-13.60269,-6.693,-4.931377,0,-4.493,0.143597,0,57,237.334,remove,"Moderately large winter-night NEE (-13.60); immediate neighbors -6.69/-4.93; plot shows a coherent run of 2 half-hours below -5 (context -13.60 to 5.10); signal moderate (57); QC 0; u* 0.144. Preliminary removal because large magnitude, u* near/below the 0.19 review reference indicate artifact risk."
LD,1/10/25 21:00,-14.28447,1.0467359999999999,10.34765,4.889e-4,-3.948,0.303905,2,87,184.641,remove,"Moderately large winter-night NEE (-14.28); immediate neighbors 1.05/10.35; plot shows an isolated excursion (context -14.28 to 10.35); signal acceptable (87); QC 2; u* 0.304. Preliminary removal because large magnitude, isolated reversal, QC 2 indicate artifact risk."
LD,1/12/25 18:00,-16.78717,8.01266,-21.60683,0.518756,-0.504,0.570206,1,5,192.821,remove,"Moderately large winter-night NEE (-16.79); immediate neighbors 8.01/-21.61; plot shows a coherent run of 2 half-hours below -5 (context -21.61 to 15.91); signal very low (5); QC 1; u* 0.570. Preliminary removal because large magnitude, weak signal indicate artifact risk."
LD,1/12/25 18:30,-21.60683,-16.78717,1.584715,0.00259046,-0.321,0.493134,2,26,194.296,remove,"Very large winter-night NEE (-21.61); immediate neighbors -16.79/1.58; plot shows a coherent run of 2 half-hours below -5 (context -21.61 to 15.91); signal very low (26); QC 2; u* 0.493. Preliminary removal because large magnitude, weak signal, QC 2 indicate artifact risk."
LD,1/12/25 19:30,-19.12617,1.584715,1.4812700000000003,3.09415e-4,0.36100000000004684,0.439804,2,64,219.936,remove,"Moderately large winter-night NEE (-19.13); immediate neighbors 1.58/1.48; plot shows an isolated excursion (context -21.67 to 15.91); signal moderate (64); QC 2; u* 0.440. Preliminary removal because large magnitude, isolated reversal, QC 2 indicate artifact risk."
LD,1/21/25 1:30,-22.8068,7.826504,25.597299999999997,4.46248e-5,-16.573,0.189739,2,32,275.731,remove,"Very large winter-night NEE (-22.81); immediate neighbors 7.83/25.60; plot shows an isolated excursion (context -22.81 to 25.60); signal very low (32); QC 2; u* 0.190. Preliminary removal because large magnitude, weak signal, isolated reversal, QC 2 indicate artifact risk."
LD,1/21/25 3:30,-9.9088,0.573374,2.78414,7.29777e-5,-16.635,0.230278,2,NA,263.46,remove,"Modest winter-night NEE (-9.91); immediate neighbors 0.57/2.78; plot shows an isolated excursion (context -9.91 to 2.78); signal unavailable; QC 2; u* 0.230. Preliminary removal because missing signal, isolated reversal, QC 2 indicate artifact risk."
LD,1/21/25 5:30,-5.42524,-3.959469,-13.27812,2.14002e-4,-17.369,0.256452,2,7,273.337,remove,"Modest winter-night NEE (-5.43); immediate neighbors -3.96/-13.28; plot shows a coherent run of 2 half-hours below -5 (context -13.28 to -3.96); signal very low (7); QC 2; u* 0.256. Preliminary removal because weak signal, QC 2 indicate artifact risk."
