DateTime,Rg,Rn,Tair,RH,P,SHF,TS,SWC,n_SHF,n_TS,n_SWC,RG_1_1_1,RN_1_1_1
2024-01-01T05:30:00Z,-3.38e-4,-21.218,272.086,82.1598,0,-7.549066666666667,277.04499999999996,0.136639,3,2,1,-3.38e-4,-21.218
2024-01-01T06:00:00Z,-2.89e-4,-20.2122,271.909,79.5285,0,-7.807693333333333,277.0105,0.136476,3,2,1,-2.89e-4,-20.2122
2024-01-01T06:30:00Z,-1.82e-4,-18.5965,271.991,79.6669,0,-8.042686666666667,276.9735,0.136226,3,2,1,-1.82e-4,-18.5965
2024-01-01T07:00:00Z,-1.43e-4,-16.0557,271.995,81.7075,0,-8.212606666666666,276.93949999999995,0.136012,3,2,1,-1.43e-4,-16.0557
2024-01-01T07:30:00Z,-2.01e-4,-13.234,271.948,83.4637,0,-8.305439999999999,276.91150000000005,0.13579,3,2,1,-2.01e-4,-13.234
2024-01-01T08:00:00Z,-1.93e-4,-11.9259,271.932,84.402,0,-8.364463333333333,276.89099999999996,0.135591,3,2,1,-1.93e-4,-11.9259
2024-01-01T08:30:00Z,-2.11e-4,-11.1657,271.962,85.0765,0,-8.40166,276.86699999999996,0.135393,3,2,1,-2.11e-4,-11.1657
2024-01-01T09:00:00Z,-1.02e-4,-12.6769,271.946,83.6002,0,-8.395656666666667,276.8465,0.135151,3,2,1,-1.02e-4,-12.6769
2024-01-01T09:30:00Z,-4.51e-5,-12.1586,271.805,83.9623,0,-8.42477,276.82,0.135099,3,2,1,-4.51e-5,-12.1586
2024-01-01T10:00:00Z,-1.95e-4,-11.7458,271.744,82.7697,0,-8.515333333333333,276.79200000000003,0.134864,3,2,1,-1.95e-4,-11.7458
2024-01-01T10:30:00Z,-1.54e-4,-10.7963,271.682,82.2831,0,-8.60034,276.76800000000003,0.134872,3,2,1,-1.54e-4,-10.7963
2024-01-01T11:00:00Z,-7.5e-5,-9.59725,271.621,83.541,0,-8.648953333333333,276.745,0.134981,3,2,1,-7.5e-5,-9.59725
2024-01-01T11:30:00Z,-1.39e-4,-9.68428,271.553,83.5437,0,-8.69029,276.72450000000003,0.134911,3,2,1,-1.39e-4,-9.68428
2024-01-01T12:00:00Z,-2.62e-4,-9.90519,271.485,82.2795,0,-8.720126666666667,276.706,0.134793,3,2,1,-2.62e-4,-9.90519
2024-01-01T12:30:00Z,3.3974e-4,-12.2436,271.355,78.8697,0,-8.749973333333333,276.684,0.134535,3,2,1,3.3974e-4,-12.2436
2024-01-01T13:00:00Z,0.0867082,-12.9102,271.037,75.0346,0,-8.816503333333333,276.65,0.134237,3,2,1,0.0867082,-12.9102
2024-01-01T13:30:00Z,2.27123,-11.1276,270.899,75.458,0,-8.977023333333333,276.597,0.133935,3,2,1,2.27123,-11.1276
2024-01-01T14:00:00Z,11.989,-8.96118,270.779,73.4995,0,-9.1509,276.572,0.134099,3,2,1,11.989,-8.96118
2024-01-01T14:30:00Z,34.797,-2.43103,270.703,71.9908,0,-9.329636666666666,276.5585,0.133943,3,2,1,34.797,-2.43103
2024-01-01T15:00:00Z,64.8722,6.5696,270.767,71.4054,0,-9.46831,276.539,0.133916,3,2,1,64.8722,6.5696
2024-01-01T15:30:00Z,109.749,21.6199,270.906,70.9826,0,-9.499936666666667,276.5195,0.133824,3,2,1,109.749,21.6199
2024-01-01T16:00:00Z,132.562,29.8721,271.091,70.7225,0,-9.357576666666667,276.512,0.133465,3,2,1,132.562,29.8721
2024-01-01T16:30:00Z,160.069,35.0735,271.339,69.7871,0,-9.035266666666667,276.5085,0.133001,3,2,1,160.069,35.0735
2024-01-01T17:00:00Z,162.311,38.4678,271.558,68.5373,0,-8.607826666666668,276.505,0.132703,3,2,1,162.311,38.4678
2024-01-01T17:30:00Z,137.344,30.3813,271.656,70.3481,0,-8.175326666666667,276.495,0.132939,3,2,1,137.344,30.3813
2024-01-01T18:00:00Z,116.026,25.0778,271.522,72.1523,0,-7.764583333333333,276.4955,0.132882,3,2,1,116.026,25.0778
2024-01-01T18:30:00Z,109.532,22.3577,271.548,73.1811,0,-7.427506666666667,276.512,0.132749,3,2,1,109.532,22.3577
2024-01-01T19:00:00Z,130.255,28.8995,271.786,72.5911,0,-7.101896666666667,276.5135,0.132641,3,2,1,130.255,28.8995
2024-01-01T19:30:00Z,85.1624,15.83,271.823,72.6986,0,-6.7801833333333335,276.52,0.132581,3,2,1,85.1624,15.83
2024-01-01T20:00:00Z,61.693600000000004,9.35893,271.846,74.1176,0,-6.607553333333334,276.51800000000003,0.132452,3,2,1,61.693600000000004,9.35893
2024-01-01T20:30:00Z,43.9254,4.97262,271.846,77.93,0,-6.69717,276.5085,0.132372,3,2,1,43.9254,4.97262
2024-01-01T21:00:00Z,33.599,2.21029,271.618,77.7234,0,-6.989286666666667,276.48,0.132295,3,2,1,33.599,2.21029
2024-01-01T21:30:00Z,19.4331,-2.26421,271.406,77.764,0,-7.426043333333333,276.4415,0.132023,3,2,1,19.4331,-2.26421
2024-01-01T22:00:00Z,11.1155,-4.90234,271.244,76.7421,0,-7.855636666666666,276.4045,0.131645,3,2,1,11.1155,-4.90234
2024-01-01T22:30:00Z,3.2558,-7.48555,271.147,75.6457,0,-8.23933,276.3625,0.131466,3,2,1,3.2558,-7.48555
2024-01-01T23:00:00Z,0.331755,-8.45791,271.017,74.8981,0,-8.63653,276.31100000000004,0.131192,3,2,1,0.331755,-8.45791
2024-01-01T23:30:00Z,9.61775e-4,-7.98458,270.994,76.431,0,-9.054863333333333,276.2735,0.131061,3,2,1,9.61775e-4,-7.98458
2024-01-02T00:00:00Z,-2.89e-4,-7.69869,271.063,77.644,0,-9.321349999999999,276.24649999999997,0.131022,3,2,1,-2.89e-4,-7.69869
2024-01-02T00:30:00Z,-2.35e-4,-7.57939,271.238,77.4951,0,-9.481416666666666,276.225,0.13096,3,2,1,-2.35e-4,-7.57939
2024-01-02T01:00:00Z,-3.45e-4,-7.65114,271.441,76.7891,0,-9.586623333333334,276.192,0.130894,3,2,1,-3.45e-4,-7.65114
2024-01-02T01:30:00Z,-2.49e-4,-7.47735,271.568,75.6507,0,-9.766350000000001,276.1585,0.130676,3,2,1,-2.49e-4,-7.47735
2024-01-02T02:00:00Z,-4.14e-4,-7.25181,271.639,75.2562,0,-9.956593333333334,276.12350000000004,0.130543,3,2,1,-4.14e-4,-7.25181
