Date,LD_NEE_gC_day,MD_NEE_gC_day,LD_GPP_gC_day,MD_GPP_gC_day,LD_Reco_gC_day,MD_Reco_gC_day,LD_VPD_mean_kPa,MD_VPD_mean_kPa,LD_VPD_day_kPa,MD_VPD_day_kPa,LD_VPD_midday_kPa,MD_VPD_midday_kPa,n_hh,n_Rg,frac_Rg,Rg_mean_Wm2,Rg_max_Wm2,Tair_mean_C,Tair_max_C,Tair_min_C,RH_mean_pct,VPD_mean_kPa,VPD_max_kPa,P_used_mm,SWC_mean,TS_mean_C,n_SWC_mean,n_TS_mean,n_Rg_from_Grant,n_Tair_from_Grant,n_RH_from_Grant,frac_Rg_from_Grant,frac_Tair_from_Grant,frac_RH_from_Grant
2024-01-01,0.4640453713386759,0.2852295999767999,0.16170306069186033,0.4379243203664749,0.6257484320305362,0.7231539203432749,0.13934992894736842,0.12258933421052631,NA,NA,0.1732317,0.1511283,38,38,1,37.64163143986842,162.311,-1.660289473684187,-1.0639999999999645,-2.4470000000000027,77.21418421052631,0.12283827288074807,0.17101622939487215,0,0.13378357894736842,3.475460526315813,1,2,0,0,0,0,0,0
2024-01-02,0.5268010390260002,0.30555387648000015,0.3336135501791444,0.6796426301714777,0.8604145892051446,0.985196506651478,0.13117167708333333,0.12170633958333334,NA,NA,0.1655528,0.1533279,48,48,1,35.47105366447916,257.73,-0.3857708333333123,1.9740000000000464,-1.9119999999999777,79.65093333333333,0.12197809588272555,0.1859570799930107,0,0.12950897916666668,2.77877083333336,1,2,0,0,0,0,0,0
2024-01-03,0.2910108216075852,0.5727379388265279,0.5844714456365757,0.4283472533052206,0.8754822672441612,1.0010851921317485,0.08531900208333333,0.07604796666666666,NA,NA,0.08873893000000001,0.07391108,48,48,1,12.413118808874998,69.4401,-0.15612499999998164,0.9440000000000168,-1.1449999999999818,87.41773541666667,0.0762193400681738,0.10711342520270628,0,0.13078575,2.9311250000000264,1,2,0,0,0,0,0,0
2024-01-04,0.49296498668076766,0.4185691636320002,0.2859222617460969,0.5446948512283172,0.7788872484268644,0.963264014860317,0.2116553125,0.18611302083333334,NA,NA,0.2320482,0.2024041,48,48,1,40.483312881625,265.258,-2.9670833333333135,-0.8929999999999723,-4.214999999999975,61.961800000000004,0.18645233269860725,0.22996844955696166,0,0.1290490625,2.4325000000000223,1,2,0,0,0,0,0,0
2024-01-05,0.5362759119585134,0.4591696035401419,0.32905574544747523,0.6871069265689903,0.8653316574059887,1.1462765301091324,0.16860204166666667,0.15092073125,NA,NA,0.2097539,0.1898586,48,46,0.9583333333333334,22.13066760869565,119.443,-1.4001739130434574,0.9140000000000441,-3.8969999999999914,72.77827608695652,0.1517059642131727,0.19893842592845062,0,0.12795158695652173,2.010934782608714,0.9583333333333333,1.9166666666666665,0,0,0,0,0,0
2024-01-06,0.5891781544045716,0.25741598228999996,0.30434318675593064,1.0110135074142155,0.893521341160502,1.2684294897042159,0.17420616666666666,0.12477432083333334,NA,NA,0.206549,0.12342600000000001,48,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-01-07,0.8914531123280572,0.04406871137830145,0.03457774443505349,1.352728181467549,0.9260308567631104,1.3967968928458505,0.17291342105263158,0.14353003333333333,NA,NA,NA,0.07238481,24,7,0.2916666666666667,NA,442.826,1.7461428571428834,2.3380000000000223,1.2240000000000464,81.02952857142857,0.13204108532643755,0.16388002060403328,0,0.12711485714285714,2.873000000000023,0.29166666666666663,0.5833333333333333,0,0,0,0,0,0
2024-01-08,0.9405417090198854,0.5118355812240001,-0.07103162972280824,0.8192948300350941,0.8695100792970774,1.3311304112590938,0.15166904545454546,0.14272626511627906,NA,NA,NA,0.124699,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-01-09,1.1187801510176674,0.526649937121853,-0.22931723017832936,0.7721983334417745,0.8894629208393381,1.2988482705636275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-10,0.9688665717606232,0.4780102656147454,-0.01742148932883978,0.7200281658281349,0.9514450824317833,1.19803843144288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-11,0.9857685816850353,0.8898035312771212,0.08401409556106491,0.20155984172352828,1.0697826772461003,1.0913633730006496,0.08563863333333334,NA,NA,NA,0.0704767,NA,11,10,0.9090909090909091,70.462628917,219.566,0.693100000000021,0.93100000000004,0.3180000000000405,85.33422,0.09411665052321788,0.1092342288822642,3.1999999999999997,0.1471838,2.5743000000000165,0.9090909090909091,1.8181818181818181,0,0,0,0,0,0
2024-01-12,0.8051571712600798,1.4449650278904003,0.30266321043390565,-0.44284104142189373,1.1078203816939858,1.0021239864685063,0.09617256979166666,NA,NA,NA,0.11794462,NA,48,6,0.125,NA,0,-0.21883333333331242,0.027000000000043656,-0.36099999999999,95.47791666666666,0.027312011647719014,0.06216096732533882,0,0.147146,2.5782500000000255,0.125,0.25,0,0,0,0,0,0
