site,Date,n_obs_NEE,n_obs_GPP,n_obs_Reco,NEE_gC_day,GPP_gC_day,Reco_gC_day,cov_NEE,cov_GPP,cov_Reco
LD,2024-01-01,37,37,37,0.4640453713386759,0.16170306069186033,0.6257484320305362,0.7708333333333334,0.7708333333333334,0.7708333333333334
LD,2024-01-02,48,48,48,0.5268010390260002,0.3336135501791444,0.8604145892051446,1,1,1
LD,2024-01-03,48,48,48,0.2910108216075852,0.5844714456365757,0.8754822672441612,1,1,1
LD,2024-01-04,48,48,48,0.49296498668076766,0.2859222617460969,0.7788872484268644,1,1,1
LD,2024-01-05,48,48,48,0.5362759119585134,0.32905574544747523,0.8653316574059887,1,1,1
LD,2024-01-06,48,48,48,0.5891781544045716,0.30434318675593064,0.893521341160502,1,1,1
LD,2024-01-07,48,48,48,0.8914531123280572,0.03457774443505349,0.9260308567631104,1,1,1
LD,2024-01-08,48,48,48,0.9405417090198854,-0.07103162972280824,0.8695100792970774,1,1,1
LD,2024-01-09,48,48,48,1.1187801510176674,-0.22931723017832936,0.8894629208393381,1,1,1
LD,2024-01-10,48,48,48,0.9688665717606232,-0.01742148932883978,0.9514450824317833,1,1,1
LD,2024-01-11,48,48,48,0.9857685816850353,0.08401409556106491,1.0697826772461003,1,1,1
LD,2024-01-12,48,48,48,0.8051571712600798,0.30266321043390565,1.1078203816939858,1,1,1
LD,2024-01-13,48,48,48,0.9007925885026973,0.21071140145255482,1.111503989955252,1,1,1
LD,2024-01-14,48,48,48,0.7545328764191999,0.07901165129082552,0.8335445277100254,1,1,1
LD,2024-01-15,48,48,48,0.834803703144,-0.3111014331824647,0.5237022699615355,1,1,1
LD,2024-01-16,48,48,48,0.8361191262960002,-0.31668308652580246,0.5194360397701976,1,1,1
LD,2024-01-17,48,48,48,0.8356685345205489,-0.1955147695778267,0.6401537649427221,1,1,1
LD,2024-01-18,48,48,48,0.7648075015281018,0.18421299482152692,0.9490204963496285,1,1,1
LD,2024-01-19,48,48,48,0.7138936116574804,0.2962250737256638,1.0101186853831443,1,1,1
LD,2024-01-20,48,48,48,0.694680526945307,0.35316013592223383,1.0478406628675407,1,1,1
LD,2024-01-21,48,48,48,0.6890720194627169,0.4042692432497956,1.093341262712512,1,1,1
LD,2024-01-22,48,48,48,0.7075398366474306,0.4628632389958738,1.1704030756433041,1,1,1
LD,2024-01-23,48,48,48,0.7596820220373258,0.48115297941687224,1.240835001454198,1,1,1
LD,2024-01-24,48,48,48,0.7122082259254106,0.5184085994605181,1.230616825385928,1,1,1
LD,2024-01-25,48,48,48,0.6755562480578159,0.5411628313675108,1.2167190794253264,1,1,1
LD,2024-01-26,48,48,48,0.6875818180792383,0.5405763903679628,1.2281582084472007,1,1,1
LD,2024-01-27,48,48,48,0.5986188921875557,0.6235973398010627,1.222216231988618,1,1,1
LD,2024-01-28,48,48,48,0.481583137158851,0.7555819636153934,1.2371651007742446,1,1,1
LD,2024-01-29,48,48,48,0.8679368246393456,0.2809370563268091,1.1488738809661545,1,1,1
LD,2024-01-30,48,48,48,0.92317663854168,0.213251050238419,1.1364276887800988,1,1,1
LD,2024-01-31,48,48,48,0.91580336669304,0.2072491809522813,1.1230525476453213,1,1,1
LD,2024-02-01,48,48,48,0.3735350131514721,0.7752735694610652,1.1488085826125376,1,1,1
LD,2024-02-02,48,48,48,0.7171431920851558,0.44139995016845823,1.1585431422536139,1,1,1
LD,2024-02-03,48,48,48,0.5656950096678157,0.6129357870131114,1.1786307966809273,1,1,1
LD,2024-02-04,48,48,48,0.1703865049805042,0.9499379873433009,1.1203244923238054,1,1,1
LD,2024-02-05,48,48,48,0.1809624632754857,0.926090471078044,1.10705293435353,1,1,1
LD,2024-02-06,48,48,48,0.22595585633762658,0.7785451244165044,1.0045009807541305,1,1,1
LD,2024-02-07,48,48,48,0.39620541720714186,0.7394502926243612,1.1356557098315028,1,1,1
LD,2024-02-08,48,48,48,0.5447592734760001,0.800041828834976,1.344801102310976,1,1,1
LD,2024-02-09,48,48,48,2.0304618301727992,-0.5389172742589419,1.4915445559138578,1,1,1
LD,2024-02-10,48,48,48,1.8416477510906577,-0.2757081216289961,1.5659396294616608,1,1,1
LD,2024-02-11,48,48,48,1.7168863200876008,-0.09505272004521606,1.6218336000423839,1,1,1
LD,2024-02-12,48,48,48,0.540576298038692,1.09140264089501,1.6319789389337027,1,1,1
LD,2024-02-13,48,48,48,0.9749545818158833,0.6259201501491395,1.6008747319650225,1,1,1
LD,2024-02-14,48,48,48,1.1337218963786562,0.4760003024583521,1.609722198837008,1,1,1
LD,2024-02-15,48,48,48,1.328849810132238,0.43220815459274103,1.7610579647249789,1,1,1
LD,2024-02-16,48,48,48,1.8780984900722817,-0.3693279095686022,1.5087705805036793,1,1,1
LD,2024-02-17,48,48,48,1.615107291644912,-0.42693831666003224,1.1881689749848794,1,1,1
LD,2024-02-18,48,48,48,1.091275107827215,0.3087944447597471,1.4000695525869626,1,1,1
LD,2024-02-19,48,48,48,0.7020063412566234,0.5746651723965248,1.2766715136531486,1,1,1
LD,2024-02-20,48,48,48,0.988108926576338,0.5366947742899265,1.5248037008662647,1,1,1
LD,2024-02-21,48,48,48,1.1847679899355428,0.6346585639809156,1.8194265539164587,1,1,1
LD,2024-02-22,48,48,48,-0.15311127143609865,1.7840019727034215,1.6308907012673226,1,1,1
LD,2024-02-23,48,48,48,-0.0761919262862578,1.494994875585813,1.4188029492995549,1,1,1
LD,2024-02-24,48,48,48,-0.1981174188622681,1.143171175782188,0.9450537569199198,1,1,1
LD,2024-02-25,48,48,48,-0.1084097928624857,1.258146316150777,1.1497365232882908,1,1,1
LD,2024-02-26,48,48,48,0.32003971199812753,1.0614194744925909,1.3814591864907186,1,1,1
LD,2024-02-27,48,48,48,0.7606218059692286,0.9994688103837178,1.7600906163529468,1,1,1
LD,2024-02-28,48,48,48,0.6617892624454453,0.598522952536249,1.2603122149816948,1,1,1
LD,2024-02-29,48,48,48,0.3012725083578356,0.5855048815408336,0.8867773898986687,1,1,1
LD,2024-03-01,48,48,48,0.32174101364687246,0.9383497934600236,1.260090807106896,1,1,1
LD,2024-03-02,48,48,48,0.0031336845263998502,1.6045710097921737,1.6077046943185735,1,1,1
LD,2024-03-03,48,48,48,0.13864489750888426,1.8359018095536614,1.974546707062545,1,1,1
LD,2024-03-04,48,48,48,1.005643095022473,1.4955305781351766,2.5011736731576497,1,1,1
LD,2024-03-05,48,48,48,1.4255908761699718,0.8657134606458208,2.2913043368157933,1,1,1
LD,2024-03-06,48,48,48,0.32030807469504075,1.7867215104492178,2.10702958514426,1,1,1
LD,2024-03-07,48,48,48,0.46790746539566563,1.5417965312587172,2.009703996654383,1,1,1
LD,2024-03-08,48,48,48,1.2345113162205508,0.9222022374462963,2.156713553666847,1,1,1
LD,2024-03-09,48,48,48,1.7728123015770374,0.27111931570926917,2.0439316172863076,1,1,1
LD,2024-03-10,48,48,48,0.9162743874356978,0.9666600315006562,1.882934418936354,1,1,1
LD,2024-03-11,48,48,48,1.1366401774918136,1.1645665424643872,2.3012067199562014,1,1,1
LD,2024-03-12,48,48,48,1.5612826302149407,1.3791911381191562,2.940473768334097,1,1,1
