site,DateTime,NEE_umol,GPP_umol,Reco_umol,Rg,Ustar,flag_negative_GPP,flag_nighttime_GPP,flag_winter_night_negative_NEE
LD,2024-01-01T13:00:00Z,2.034995,-1.2701248247150514,0.7648701752849485,0.0867082,0.477713,TRUE,FALSE,FALSE
LD,2024-01-01T23:00:00Z,1.517887,-0.753794895240302,0.764092104759698,0.331755,0.403979,TRUE,FALSE,FALSE
LD,2024-01-01T23:30:00Z,1.2926565,-0.5294590735879042,0.7631974264120959,9.61775e-4,0.32937,TRUE,FALSE,FALSE
LD,2024-01-02T00:30:00Z,1.292258,-0.5195636883462795,0.7726943116537204,0,0.313401,TRUE,FALSE,FALSE
LD,2024-01-02T02:30:00Z,1.449979,-0.6588029055014607,0.7911760944985392,0,0.361945,TRUE,FALSE,FALSE
LD,2024-01-02T21:30:00Z,1.5428706,-0.6375847939629188,0.9052858060370813,12.1988,0.59611,TRUE,FALSE,FALSE
LD,2024-01-02T23:00:00Z,1.4585313,-0.5545443441376422,0.9039869558623578,0.0666704,0.572716,TRUE,FALSE,FALSE
LD,2024-01-02T23:30:00Z,1.597375,-0.7050355017232636,0.8923394982767364,1.18095e-4,0.447815,TRUE,FALSE,FALSE
LD,2024-01-03T00:30:00Z,1.922297,-1.0377455348098654,0.8845514651901344,0,0.53726,TRUE,FALSE,FALSE
LD,2024-01-03T01:30:00Z,1.4742372000000001,-0.6015587870155554,0.8726784129844447,0,0.531882,TRUE,FALSE,FALSE
LD,2024-01-03T03:30:00Z,1.4317236,-0.5970045913228964,0.8347190086771036,0,0.462241,TRUE,FALSE,FALSE
LD,2024-01-03T04:30:00Z,1.4995859,-0.6748589033163226,0.8247269966836774,0,0.526802,TRUE,FALSE,FALSE
LD,2024-01-03T05:00:00Z,1.4495873,-0.6264660543715852,0.8231212456284147,0,0.408916,TRUE,FALSE,FALSE
LD,2024-01-03T06:30:00Z,1.3280524,-0.5042653831303746,0.8237870168696254,0,0.383662,TRUE,FALSE,FALSE
LD,2024-01-03T08:00:00Z,-2.234805,3.0634494168625417,0.8286444168625416,0,0.345095,FALSE,TRUE,FALSE
LD,2024-01-03T09:00:00Z,-2.2730400000000004,3.103957127567303,0.8309171275673026,0,0.311172,FALSE,TRUE,FALSE
LD,2024-01-03T09:30:00Z,-0.9480390000000001,1.7803278020151607,0.8322888020151608,0,0.229848,FALSE,TRUE,FALSE
LD,2024-01-03T15:00:00Z,-1.2942390000000001,2.1433527832390444,0.8491137832390441,5.7912,0.262999,FALSE,TRUE,FALSE
LD,2024-01-03T15:30:00Z,7.165809,-6.31402637965728,0.8517826203427206,10.2206,0.393335,TRUE,FALSE,FALSE
LD,2024-01-03T16:00:00Z,4.9528300000000005,-4.102067876492627,0.850762123507374,19.7303,0.495333,TRUE,FALSE,FALSE
