plot_page,event_id,site,DateTime,NEE_raw,NEE_lag,NEE_lead,Rg,Tair,Ustar,qc_co2_flux,signal_strength,wind_dir
1,LD_Winter_negative_nighttime_NEE_20240111_1930,LD,2024-01-12T00:30:00Z,-10.05347,1.2133096,3.1166549999999997,0,0.027000000000043656,0.233312,1,90,212.484
2,LD_Winter_negative_nighttime_NEE_20240114_2100,LD,2024-01-15T02:00:00Z,-7.711454,0.5450851099999999,-0.794508,0.11111111111111112,-11.64,0.54363,1,100,205.748
3,LD_Winter_negative_nighttime_NEE_20240207_1900,LD,2024-02-08T00:00:00Z,-11.526071,-0.022838999999999998,-5.825584,0.00591734,4.285000000000025,0.159832,1,100,130.393
4,LD_Winter_negative_nighttime_NEE_20240207_1930,LD,2024-02-08T00:30:00Z,-5.825584,-11.526071,-4.292655,0,3.4770000000000323,0.185404,1,100,142.287
5,LD_Winter_negative_nighttime_NEE_20240214_0530,LD,2024-02-14T10:30:00Z,-7.103113,-1.081321,1.109736,0.11111111111111112,-4.95,0.101634,1,97,246.864
6,LD_Winter_negative_nighttime_NEE_20240215_0830,LD,2024-02-15T13:30:00Z,-16.939439999999998,0.8977366999999999,14.8148,0.1388888888888889,-1.31,0.408703,2,89,156.909
7,LD_Winter_negative_nighttime_NEE_20240217_0200,LD,2024-02-17T07:00:00Z,-6.602527,1.6316168,1.58952,0,-6.944999999999993,0.570854,1,100,300.689
8,LD_Winter_negative_nighttime_NEE_20240222_0500,LD,2024-02-22T10:00:00Z,-14.901580000000001,1.3366149999999999,1.6556069999999998,1.38066e-4,1.1170000000000186,0.205318,1,98,173.684
9,LD_Winter_negative_nighttime_NEE_20240227_2330,LD,2024-02-28T04:30:00Z,-18.13271,1.525395,-39.22497,0,16.025000000000034,0.388214,0,94,172.106
10,LD_Winter_negative_nighttime_NEE_20240228_0030,LD,2024-02-28T05:30:00Z,-9.38808,-39.22497,-22.19455,0,14.143000000000029,0.501348,2,60,141.412
11,LD_Winter_negative_nighttime_NEE_20240228_0100,LD,2024-02-28T06:00:00Z,-22.19455,-9.38808,-7.289589999999999,0,13.637,0.361247,2,93,245.308
12,LD_Winter_negative_nighttime_NEE_20240228_0130,LD,2024-02-28T06:30:00Z,-7.289589999999999,-22.19455,1.945225,0,11.461000000000013,0.380884,0,100,288.699
13,LD_Winter_negative_nighttime_NEE_20240302_2130,LD,2024-03-03T02:30:00Z,-7.8123130000000005,-3.8410159999999998,-0.60562,0,4.085000000000036,0.19689,1,100,142.658
14,LD_Winter_negative_nighttime_NEE_20240305_0300,LD,2024-03-05T08:00:00Z,-6.351697,8.301527,-12.63479,0,11.081000000000017,0.552813,2,52,311.524
15,LD_Winter_negative_nighttime_NEE_20240316_2230,LD,2024-03-17T02:30:00Z,-8.12752,2.577334,4.7857400000000005,0,3.6200000000000045,0.561568,2,84,307.607
16,LD_Winter_negative_nighttime_NEE_20240326_0430,LD,2024-03-26T08:30:00Z,-23.38893,85.65746,-14.054976,0,8.93100000000004,0.672102,1,62,141.595
17,LD_Winter_negative_nighttime_NEE_20240326_0500,LD,2024-03-26T09:00:00Z,-14.054976,-23.38893,3.6678779999999995,0,8.123000000000047,0.603487,1,64,128.363
18,LD_Winter_negative_nighttime_NEE_20240326_0830,LD,2024-03-26T12:30:00Z,-14.725330000000001,36.37855,28.279082,2.38314,8.912000000000035,0.862835,0,65,149.26
19,LD_Winter_negative_nighttime_NEE_20240326_2230,LD,2024-03-27T02:30:00Z,-9.842839999999999,17.05561,2.1639679999999997,0,3.7630000000000337,0.760674,0,47,246.799
20,LD_Winter_negative_nighttime_NEE_20241101_0300,LD,2024-11-01T07:00:00Z,-21.415599999999998,62.308460000000004,106.11439999999999,0,6.4809999999999945,0.59402,1,93,271.655
21,LD_Winter_negative_nighttime_NEE_20241101_0630,LD,2024-11-01T10:30:00Z,-5.701309999999999,58.4792,3.3013936,0,5.79200000000003,0.554585,0,87,300.25
22,LD_Winter_negative_nighttime_NEE_20241103_1800,LD,2024-11-03T23:00:00Z,-11.41731,-188.14857899999998,40.78832,0.205516,13.273000000000025,0.499937,1,93,110.689
23,LD_Winter_negative_nighttime_NEE_20241103_1930,LD,2024-11-04T00:30:00Z,-12.668059999999999,-129.064,113.59287,0,12.010000000000048,0.581705,2,93,120.304
24,LD_Winter_negative_nighttime_NEE_20241103_2130,LD,2024-11-04T02:30:00Z,-14.986780000000001,5.83632,46.48065,0,11.057000000000016,0.517817,2,90,120.545
25,LD_Winter_negative_nighttime_NEE_20241103_2330,LD,2024-11-04T04:30:00Z,-11.178659999999999,-0.8068200000000001,NA,0,12.408000000000015,0.646225,1,92,127.723
26,LD_Winter_negative_nighttime_NEE_20241104_0200,LD,2024-11-04T07:00:00Z,-18.30957,-69.44552,65.2397,0,10.939000000000021,0.408161,2,39,137.633
27,LD_Winter_negative_nighttime_NEE_20241104_2300,LD,2024-11-05T04:00:00Z,-17.074779999999997,2.835491,NA,0,16.950000000000045,0.505176,1,89,196.713
28,LD_Winter_negative_nighttime_NEE_20241106_0530,LD,2024-11-06T10:30:00Z,-15.293111,2.12209,23.4673,0,12.184000000000026,0.130257,2,38,228.231
29,LD_Winter_negative_nighttime_NEE_20241110_0630,LD,2024-11-10T11:30:00Z,-13.431750000000001,-45.5181,18.31768,0,6.532000000000039,0.243495,2,45,111.209
30,LD_Winter_negative_nighttime_NEE_20241110_1830,LD,2024-11-10T23:30:00Z,-28.88909,2.968781,-1.64981,0.0013528,10.841000000000008,0.623919,2,67,258.485
31,LD_Winter_negative_nighttime_NEE_20241110_2300,LD,2024-11-11T04:00:00Z,-16.11071,-80.16829,2.45442,0,10.249000000000024,0.503929,2,70,267.362
32,LD_Winter_negative_nighttime_NEE_20241113_2200,LD,2024-11-14T03:00:00Z,-8.760909999999999,-66.304004,-90.49629999999999,6.38552e-5,7.453000000000031,0.352331,2,93,116.765
33,LD_Winter_negative_nighttime_NEE_20241114_0030,LD,2024-11-14T05:30:00Z,-7.40742,NA,-61.22414,3.20756e-4,5.7309999999999945,0.23815,1,48,105.169
34,LD_Winter_negative_nighttime_NEE_20241114_0330,LD,2024-11-14T08:30:00Z,-15.8882,NA,26.35772,0,5.594000000000051,0.271267,2,38,101.864
35,LD_Winter_negative_nighttime_NEE_20241114_0600,LD,2024-11-14T11:00:00Z,-7.18713,-569.24157,-29.388599999999997,0,5.563000000000045,0.287613,0,48,102.866
36,LD_Winter_negative_nighttime_NEE_20241114_0630,LD,2024-11-14T11:30:00Z,-29.388599999999997,-7.18713,-363.288306,0,5.603000000000009,0.861581,1,46,105.147
37,LD_Winter_negative_nighttime_NEE_20241114_0830,LD,2024-11-14T13:30:00Z,-8.7134,107.23259999999999,28.23097,8.72105,5.844000000000051,0.308633,1,40,100.52
38,LD_Winter_negative_nighttime_NEE_20241117_2200,LD,2024-11-18T03:00:00Z,-19.43299,1.0198899999999997,29.39642,5.34758e-4,9.494000000000028,0.188028,2,43,247.291
39,LD_Winter_negative_nighttime_NEE_20241119_0800,LD,2024-11-19T13:00:00Z,-16.72355,32.09446,-0.511078,0.550119,10.691000000000031,0.502101,0,93,117.339
40,LD_Winter_negative_nighttime_NEE_20241119_0900,LD,2024-11-19T14:00:00Z,-13.01551,-0.511078,2.1045300000000005,6.58224,11.072000000000003,0.532455,1,83,122.394
41,LD_Winter_negative_nighttime_NEE_20241120_2000,LD,2024-11-21T01:00:00Z,-6.188388,1.7130226899999998,-6.384699999999999,0,3.4740000000000464,0.684223,2,99,265.588
42,LD_Winter_negative_nighttime_NEE_20241120_2030,LD,2024-11-21T01:30:00Z,-6.384699999999999,-6.188388,5.949558,0,2.6240000000000236,0.40721,1,89,261.514
43,LD_Winter_negative_nighttime_NEE_20241120_2230,LD,2024-11-21T03:30:00Z,-23.99447,1.515458,-3.6596990000000003,0,0.7860000000000014,0.411429,1,22,250.541
44,LD_Winter_negative_nighttime_NEE_20241121_0200,LD,2024-11-21T07:00:00Z,-12.26518,4.54222,-1.453385,0,0.6790000000000305,0.374458,2,79,255.002
45,LD_Winter_negative_nighttime_NEE_20241121_1900,LD,2024-11-22T00:00:00Z,-8.6143,-0.17405800000000002,-3.40657,5.91709e-5,0.5910000000000082,0.1117,1,91,257.99
46,LD_Winter_negative_nighttime_NEE_20241123_0030,LD,2024-11-23T05:30:00Z,-12.34033,-53.28822,49.132069,0,5.275000000000034,0.885217,2,33,309.04
47,LD_Winter_negative_nighttime_NEE_20241125_1930,LD,2024-11-26T00:30:00Z,-24.889165000000002,-3.29232,6.89612,0,6.0120000000000005,0.475213,2,90,281.815
48,LD_Winter_negative_nighttime_NEE_20241125_2130,LD,2024-11-26T02:30:00Z,-21.26045,-4.202386,3.9761408,0,4.346000000000004,0.485768,2,84,287.815
49,LD_Winter_negative_nighttime_NEE_20241125_2330,LD,2024-11-26T04:30:00Z,-14.18145,3.6505,4.94851,0,3.583000000000027,0.64917,2,58,286.089
50,LD_Winter_negative_nighttime_NEE_20241126_0230,LD,2024-11-26T07:30:00Z,-10.439969999999999,15.232598,-0.3871000000000011,0,2.941000000000031,0.61537,2,54,277.629
51,LD_Winter_negative_nighttime_NEE_20241215_0800,LD,2024-12-15T13:00:00Z,-7.6465,-35.88364,115.18443,0.0674722,0.7909999999999968,0.333018,2,48,110.902
52,LD_Winter_negative_nighttime_NEE_20241216_1730,LD,2024-12-16T22:30:00Z,-7.43105,14.3847,2.6117749999999997,0.442841,7.93300000000005,0.612669,1,41,257.391
53,LD_Winter_negative_nighttime_NEE_20241216_1830,LD,2024-12-16T23:30:00Z,-14.22325,2.6117749999999997,14.91703,0,6.895000000000039,0.535678,1,36,258.886
54,LD_Winter_negative_nighttime_NEE_20241219_2130,LD,2024-12-20T02:30:00Z,-7.55758,0.8132978000000001,-0.690038,3.92008e-5,-3.784999999999968,0.270788,1,98,90.1204
55,LD_Winter_negative_nighttime_NEE_20241226_0700,LD,2024-12-26T12:00:00Z,-7.8862760000000005,6.1093720000000005,-0.049296000000000006,0,0.5480000000000018,0.260469,2,81,119.854
56,LD_Winter_negative_nighttime_NEE_20241227_0130,LD,2024-12-27T06:30:00Z,-8.08678,1.5066599999999999,-31.378156,0,4.970000000000027,0.397166,2,13,139.701
57,LD_Winter_negative_nighttime_NEE_20241227_0500,LD,2024-12-27T10:00:00Z,-10.27002,17.81776,-1.2382700000000002,0,4.460000000000036,0.364805,2,44,122.888
58,LD_Winter_negative_nighttime_NEE_20241227_1730,LD,2024-12-27T22:30:00Z,-11.48951,-0.673802,49.5972,0.707365,6.220000000000027,0.339845,2,59,106.041
59,LD_Winter_negative_nighttime_NEE_20241227_1830,LD,2024-12-27T23:30:00Z,-8.86111,49.5972,-13.669500000000001,0,6.2830000000000155,0.340298,0,17,109.197
60,LD_Winter_negative_nighttime_NEE_20241227_1900,LD,2024-12-28T00:00:00Z,-13.669500000000001,-8.86111,-64.20622,0,6.235000000000014,0.356478,2,16,110.888
61,LD_Winter_negative_nighttime_NEE_20241227_2030,LD,2024-12-28T01:30:00Z,-11.02048,-4.38202,-6.479190000000001,0,6.213999999999999,0.422116,2,57,113.677
62,LD_Winter_negative_nighttime_NEE_20241227_2100,LD,2024-12-28T02:00:00Z,-6.479190000000001,-11.02048,-17.857051000000002,0,6.446000000000026,0.454247,2,61,117.748
63,LD_Winter_negative_nighttime_NEE_20241227_2130,LD,2024-12-28T02:30:00Z,-17.857051000000002,-6.479190000000001,1.139485,0,6.641999999999996,0.42298,2,59,117.898
64,LD_Winter_negative_nighttime_NEE_20241228_2330,LD,2024-12-29T04:30:00Z,-6.72307,-15.40382,-39.45188,0,4.79200000000003,0.145681,2,98,180.121
65,LD_Winter_negative_nighttime_NEE_20241229_0400,LD,2024-12-29T09:00:00Z,-11.500101,1.1297540000000001,-1.839131,0,3.684000000000026,0.101796,1,95,93.0094
66,LD_Winter_negative_nighttime_NEE_20241230_0030,LD,2024-12-30T05:30:00Z,-24.774789700000003,44.348102,-9.180900000000001,0,2.847000000000037,0.570087,0,32,303.598
67,LD_Winter_negative_nighttime_NEE_20241230_0100,LD,2024-12-30T06:00:00Z,-9.180900000000001,-24.774789700000003,-4.77396,0,2.75,0.575483,2,29,307.435
68,LD_Winter_negative_nighttime_NEE_20241230_0230,LD,2024-12-30T07:30:00Z,-16.3845,-4.77396,1.2680900000000002,0,2.7450000000000045,0.696421,0,26,294.097
69,LD_Winter_negative_nighttime_NEE_20241230_2000,LD,2024-12-31T01:00:00Z,-8.75823,5.1313737999999995,NA,0,1.962000000000046,0.12391,2,63,239.641
