site,DateTime,NEE_raw,NEE_lag,NEE_lead,Rg,Tair,Ustar,low_ustar,qc_co2_flux,signal_strength,wind_dir,remove_nee_auto,manual_decision_pos,manual_reason_pos
LD,2024-02-13T06:30:00Z,40.2684,-22.70459,-24.35103,0.05555555555555556,-4.02,0.0953642,TRUE,1,7,256.907,FALSE,NA,NA
LD,2024-02-15T14:00:00Z,14.8148,-16.939439999999998,-49.9125,1.6944444444444444,-0.84,0.205655,FALSE,2,18,191.974,FALSE,NA,NA
LD,2024-02-28T10:30:00Z,16.328969999999998,2.5838998500000003,14.63382,0,-0.2899999999999636,0.838265,FALSE,2,56,311.396,FALSE,NA,NA
LD,2024-02-28T11:00:00Z,14.63382,16.328969999999998,-10.68777,0,-1.61099999999999,0.834303,FALSE,1,23,314.624,FALSE,NA,NA
LD,2024-03-05T05:30:00Z,18.15918,2.1295870000000003,2.8461923,0,15.326999999999998,0.292404,FALSE,0,80,289.016,FALSE,NA,NA
LD,2024-03-09T12:30:00Z,16.77235,-2.00252,7.597803000000001,5.71144,0.7560000000000286,0.542609,FALSE,1,NA,308.764,FALSE,NA,NA
LD,2024-03-20T09:00:00Z,12.32464,114.1103,-31.407329999999998,0,-1.5,0.31486,FALSE,1,7,307.938,FALSE,NA,NA
LD,2024-03-26T06:30:00Z,13.392389999999999,2.389168,-2.48943,0,13.266999999999996,0.590668,FALSE,0,80,168.76,FALSE,NA,NA
LD,2024-03-26T12:00:00Z,36.37855,3.797962,-14.725330000000001,0.659168,8.737000000000023,0.818412,FALSE,1,66,147.385,FALSE,NA,NA
LD,2024-03-26T13:00:00Z,28.279082,-14.725330000000001,-25.34724,7.26895,8.887,0.81253,FALSE,2,54,154.841,FALSE,NA,NA
LD,2024-03-27T02:00:00Z,17.05561,1.66334,-9.842839999999999,0,4.479000000000042,0.791552,FALSE,2,69,234.258,FALSE,NA,NA
LD,2024-03-27T06:00:00Z,13.6515605,0.2995620000000001,1.7237600000000004,0,1.0649999999999977,0.818699,FALSE,0,92,252.64,FALSE,NA,NA
LD,2024-03-31T00:30:00Z,19.43521,5.484267999999999,-5.988912,0.538641,4.286000000000001,0.219259,FALSE,0,39,302.105,FALSE,NA,NA
LD,2024-11-01T12:00:00Z,39.349807,4.710368,26.8606,0.0238839,5.063000000000045,0.372944,FALSE,2,66,310.021,FALSE,NA,NA
LD,2024-11-01T12:30:00Z,26.8606,39.349807,-14.498069999999998,2.08698,4.93100000000004,0.484996,FALSE,2,85,306.364,FALSE,NA,NA
LD,2024-11-02T06:30:00Z,19.8898948,5.60704,-5.274839999999999,0,-0.3149999999999977,0.0698762,TRUE,2,20,133.614,FALSE,NA,NA
LD,2024-11-03T23:30:00Z,40.78832,-11.41731,-129.064,2.69475e-4,12.66500000000002,0.481434,FALSE,1,92,115.902,FALSE,NA,NA
LD,2024-11-04T03:00:00Z,46.48065,-14.986780000000001,18.18489,0,11.170000000000016,0.63123,FALSE,1,91,119.738,FALSE,NA,NA
LD,2024-11-04T03:30:00Z,18.18489,46.48065,-0.8068200000000001,0,11.241000000000042,0.495864,FALSE,2,89,120.401,FALSE,NA,NA
LD,2024-11-04T05:30:00Z,24.5723,NA,152.525332,0,10.088000000000022,0.398574,FALSE,2,56,134.428,FALSE,NA,NA
LD,2024-11-05T00:30:00Z,32.099869999999996,5.3784208,112.42160000000001,0,17.795000000000016,0.523788,FALSE,1,79,218.066,FALSE,NA,NA
LD,2024-11-06T03:30:00Z,43.667100000000005,137.046,83.0601,0,15.645000000000039,0.53772,FALSE,0,71,237.711,FALSE,NA,NA
LD,2024-11-06T11:00:00Z,23.4673,-15.293111,6.77318,0,12.104000000000042,0.231991,FALSE,1,28,241.461,FALSE,NA,NA
LD,2024-11-10T07:30:00Z,40.4794,NA,-72.52168,0,7.409000000000049,0.151353,FALSE,2,83,102.02,FALSE,NA,NA
LD,2024-11-10T12:00:00Z,18.31768,-13.431750000000001,1.1808699999999999,2.86979e-4,6.531000000000006,0.248582,FALSE,1,37,109.369,FALSE,NA,NA
LD,2024-11-11T01:00:00Z,18.269374,3.063729,4.264527999999999,0,11.031000000000006,0.489161,FALSE,1,79,264.488,FALSE,NA,NA
LD,2024-11-11T03:00:00Z,13.623750000000001,3.079699999999999,-80.16829,0,10.307000000000016,0.578494,FALSE,0,53,274.566,FALSE,NA,NA
LD,2024-11-14T04:30:00Z,32.2212,NA,NA,7.00191e-5,5.9220000000000255,0.206423,FALSE,1,24,115.414,FALSE,NA,NA
LD,2024-11-14T09:00:00Z,26.35772,-15.8882,-84.8048,0,5.572000000000003,0.28855,FALSE,1,43,101.779,FALSE,NA,NA
LD,2024-11-16T05:30:00Z,14.549223000000001,2.079617,-4.038916,0.00146522,7.580000000000041,0.0865675,TRUE,1,93,275.613,FALSE,NA,NA
LD,2024-11-18T03:30:00Z,29.39642,-19.43299,43.891945,7.92644e-4,9.329000000000008,0.113194,FALSE,1,26,266.321,FALSE,NA,NA
LD,2024-11-18T04:00:00Z,43.891945,29.39642,5.940729999999999,9.88155e-4,9.07000000000005,0.0999447,TRUE,1,20,254.967,FALSE,NA,NA
LD,2024-11-19T04:00:00Z,16.99189,-62.8378,-0.839004,0,8.675000000000011,0.479608,FALSE,2,90,106.354,FALSE,NA,NA
LD,2024-11-19T12:00:00Z,22.759369999999997,5.2096800000000005,32.09446,0,10.68300000000005,0.553943,FALSE,0,44,114.171,FALSE,NA,NA
LD,2024-11-19T12:30:00Z,32.09446,22.759369999999997,-16.72355,0.0215235,10.494000000000028,0.664283,FALSE,2,59,111.277,FALSE,NA,NA
LD,2024-11-21T02:30:00Z,13.741337,5.949558,1.515458,0,3.011000000000024,0.381343,FALSE,1,91,261.866,FALSE,NA,NA
LD,2024-11-21T09:00:00Z,25.31833,10.523810000000001,-48.2141,1.24506e-4,0.08600000000001273,0.428957,FALSE,1,0,259.124,FALSE,NA,NA
LD,2024-11-23T04:30:00Z,13.165068,2.8293,-53.28822,0,5.373000000000047,0.347145,FALSE,1,33,309.17,FALSE,NA,NA
LD,2024-11-23T06:30:00Z,19.135046000000003,49.132069,55.457899999999995,0,5.365000000000009,0.6771,FALSE,0,41,306.531,FALSE,NA,NA
LD,2024-11-23T08:00:00Z,24.40496,11.63451,48.27497,0,4.982000000000028,0.907896,FALSE,1,67,285.879,FALSE,NA,NA
LD,2024-11-23T08:30:00Z,48.27497,24.40496,-1.7763259999999998,0,4.867000000000019,0.9968,FALSE,1,76,287.137,FALSE,NA,NA
LD,2024-11-25T23:30:00Z,31.505449999999996,1.549894,-3.29232,0,5.828000000000031,0.280342,FALSE,2,67,268.547,FALSE,NA,NA
LD,2024-11-26T07:00:00Z,15.232598,3.659399,-10.439969999999999,0,3.5130000000000337,0.6219,FALSE,1,71,286.939,FALSE,NA,NA
LD,2024-11-26T09:30:00Z,21.99699,-1.1209699999999998,0.9463900000000001,0,2.3000000000000114,0.793435,FALSE,1,58,284.889,FALSE,NA,NA
LD,2024-12-15T11:30:00Z,27.0938,81.67214,48.938357,2.29534e-4,0.4870000000000232,0.657545,FALSE,2,62,95.5109,FALSE,NA,NA
LD,2024-12-15T12:00:00Z,48.938357,27.0938,-35.88364,0,0.5830000000000268,1.09551,FALSE,1,65,106.63,FALSE,NA,NA
LD,2024-12-16T13:00:00Z,14.50507,5.308889,12.43925,0.0313207,5.909000000000049,0.382103,FALSE,0,24,133.191,FALSE,NA,NA
LD,2024-12-16T13:30:00Z,12.43925,14.50507,3.9631869999999996,0.705039,6.076999999999998,0.376318,FALSE,0,23,133.479,FALSE,NA,NA
LD,2024-12-16T14:30:00Z,17.89029,3.9631869999999996,12.04857,5.97653,6.468000000000018,0.388956,FALSE,2,28,148.45,FALSE,NA,NA
LD,2024-12-16T22:00:00Z,14.3847,2.8946058,-7.43105,4.8165,8.049000000000035,0.490185,FALSE,2,29,246.367,FALSE,NA,NA
LD,2024-12-17T00:00:00Z,14.91703,-14.22325,6.54444,0,6.2379999999999995,0.670011,FALSE,0,31,268.938,FALSE,NA,NA
LD,2024-12-17T01:30:00Z,29.979108,10.82001,4.7628200000000005,0,4.841000000000008,0.634433,FALSE,1,39,268.701,FALSE,NA,NA
LD,2024-12-23T23:30:00Z,21.45129,0.03164000000000011,8.29744,1.90333e-4,0.12400000000002365,0.203419,FALSE,2,21,218.867,FALSE,NA,NA
LD,2024-12-24T01:30:00Z,17.18462,-67.73063,2.13415,0,0.160000000000025,0.229784,FALSE,1,47,271.119,FALSE,NA,NA
LD,2024-12-24T02:30:00Z,37.7712,2.13415,0.9807899999999998,0,0.043000000000006366,0.253883,FALSE,1,5,300.939,FALSE,NA,NA
LD,2024-12-27T03:30:00Z,20.56521,-3.43788,3.615,0,5.338999999999999,0.38435,FALSE,1,73,131.788,FALSE,NA,NA
LD,2024-12-27T04:30:00Z,20.071906,3.615,-4.63323,0,5.275000000000034,0.367755,FALSE,1,30,139.401,FALSE,NA,NA
LD,2024-12-27T09:30:00Z,17.81776,3.5475512,-10.27002,0,4.5049999999999955,0.366351,FALSE,1,44,122.232,FALSE,NA,NA
LD,2024-12-27T23:00:00Z,49.5972,-11.48951,-8.86111,0.0320776,6.162000000000035,0.393256,FALSE,1,35,108.162,FALSE,NA,NA
LD,2024-12-28T05:00:00Z,24.693694999999998,-45.834219999999995,63.524770000000004,0,7.290999999999997,0.435857,FALSE,1,38,120.569,FALSE,NA,NA
LD,2024-12-28T05:30:00Z,63.524770000000004,24.693694999999998,69.30201,0,7.741000000000042,0.442575,FALSE,1,35,132.377,FALSE,keep,pulse
LD,2024-12-28T06:00:00Z,69.30201,63.524770000000004,14.502800000000004,0,8.116000000000042,0.470197,FALSE,2,29,136.726,FALSE,keep,pulse
LD,2024-12-28T06:30:00Z,14.502800000000004,69.30201,42.000299999999996,0,8.469000000000051,0.577747,FALSE,1,20,146.867,FALSE,NA,NA
LD,2024-12-28T07:00:00Z,42.000299999999996,14.502800000000004,25.54224,0,8.910000000000025,0.560366,FALSE,1,29,145.753,FALSE,NA,NA
LD,2024-12-28T07:30:00Z,25.54224,42.000299999999996,39.2051,0,9.305000000000007,0.544906,FALSE,0,29,152.343,FALSE,NA,NA
LD,2024-12-28T08:00:00Z,39.2051,25.54224,-113.250908,0,9.865000000000009,0.547896,FALSE,0,15,178.56,FALSE,NA,NA
LD,2024-12-30T05:00:00Z,44.348102,5.985049999999999,-24.774789700000003,0,2.7250000000000227,0.728625,FALSE,1,33,305.24,FALSE,NA,NA
LD,2024-12-30T08:30:00Z,12.042919999999999,1.2680900000000002,7.566974,0,2.55600000000004,0.579116,FALSE,1,17,285.809,FALSE,NA,NA
LD,2024-12-31T03:00:00Z,16.0857,-4.811299999999999,5.014377,0,1.3420000000000414,0.187148,FALSE,1,13,194.173,FALSE,NA,NA
MD,2024-01-25T10:00:00Z,17.05343,0.16063000000000027,-11.21438,4.73368e-4,0.6590000000000487,0.0678837,TRUE,1,68,354.69,FALSE,NA,NA
MD,2024-01-26T04:00:00Z,19.05477,-3.409155,22.74141,2.12029e-4,0.2810000000000059,0.529157,FALSE,2,60,52.9689,FALSE,NA,NA
MD,2024-01-26T04:30:00Z,22.74141,19.05477,1.1710600000000007,4.77066e-4,0.382000000000005,0.523139,FALSE,2,53,65.3033,FALSE,NA,NA
MD,2024-01-27T03:00:00Z,18.00482,9.2335,-0.5776900000000005,0.1388888888888889,1.72,0.147252,FALSE,0,52,65.6973,FALSE,NA,NA
MD,2024-01-27T06:30:00Z,22.15056,-1.5600470000000002,3.4603800000000002,0.1388888888888889,1.09,0.074346,TRUE,1,46,155.754,FALSE,NA,NA
MD,2024-01-28T10:00:00Z,16.74287,3.13665,19.344099999999997,0.08333333333333333,1.65,0.293382,FALSE,1,43,21.5779,FALSE,NA,NA
MD,2024-01-28T10:30:00Z,19.344099999999997,16.74287,-0.2659699999999994,0.08333333333333333,1.65,0.270949,FALSE,1,30,21.0502,FALSE,NA,NA
MD,2024-02-15T13:30:00Z,27.153047,-4.20988,-26.278999999999996,0.1388888888888889,-1.31,0.532327,FALSE,1,45,170.942,FALSE,NA,NA
MD,2024-02-15T14:30:00Z,14.666800000000002,-26.278999999999996,-15.0313,1.6944444444444444,-0.84,0.0711311,TRUE,1,34,310.23,FALSE,NA,NA
MD,2024-02-28T05:30:00Z,13.666799999999999,-57.122719000000004,1.540131,0,14.143000000000029,0.610479,FALSE,1,97,151.481,FALSE,NA,NA
MD,2024-02-28T11:00:00Z,26.706220000000002,-172.8117,10.67632,0,-1.61099999999999,0.892869,FALSE,1,48,326.944,FALSE,NA,NA
MD,2024-03-05T05:30:00Z,17.488879999999998,0.14315500000000003,12.45604,0,15.326999999999998,0.253385,FALSE,1,79,303.469,FALSE,NA,NA
MD,2024-03-05T06:00:00Z,12.45604,17.488879999999998,15.71827,0,13.708000000000027,0.311631,FALSE,1,71,315.685,FALSE,NA,NA
MD,2024-03-05T06:30:00Z,15.71827,12.45604,-32.64374,0,12.958000000000027,0.287191,FALSE,1,66,334.983,FALSE,NA,NA
MD,2024-03-05T09:00:00Z,32.1516,-0.58476,-12.20195,0,8.850999999999999,0.17209,FALSE,2,35,79.2048,FALSE,NA,NA
MD,2024-03-06T04:30:00Z,25.60656,63.9775,-4.59939,0,6.081000000000017,0.398893,FALSE,1,58,73.9543,FALSE,NA,NA
MD,2024-03-08T23:00:00Z,22.047600000000003,-10.122364,13.41629,9.09618,5.837000000000046,0.428251,FALSE,1,48,69.2427,FALSE,NA,NA
MD,2024-03-08T23:30:00Z,13.41629,22.047600000000003,63.361005,4.29525,5.8799999999999955,0.41813,FALSE,1,47,65.5701,FALSE,NA,NA
