site,DateTime,NEE_raw,Rg,Tair,Ustar,SeasonClass,DayNight,low_ustar_flag
LD,2025-09-13T12:30:00Z,-445.53589999999997,11.5471,15.353000000000009,0.212159,Growing season,Day,FALSE
LD,2025-05-01T16:30:00Z,-415.35997,112.97,8.33200000000005,1.3641,Growing season,Day,FALSE
MD,2025-02-06T17:00:00Z,-264.7094,105.173,-1.0989999999999895,0.696574,Winter window,Day,FALSE
MD,2025-12-10T08:30:00Z,-255.5694,0,0.036000000000001364,0.305672,Winter window,Night,FALSE
LD,2025-04-05T13:30:00Z,-229.71369,115.942,3.910000000000025,0.276663,Shoulder season,Day,FALSE
LD,2025-07-31T02:30:00Z,-207.315,0,17.527000000000044,0.401445,Growing season,Night,FALSE
LD,2025-09-09T04:30:00Z,-204.221,0.00110181,8.953000000000031,0.146877,Growing season,Night,FALSE
LD,2025-09-28T13:30:00Z,-198.1843,252.191,15.841000000000008,0.110766,Growing season,Day,FALSE
LD,2025-05-17T02:30:00Z,-195.66543,8.16315e-4,20.200000000000045,0.762849,Growing season,Night,FALSE
LD,2025-05-21T22:00:00Z,-182.037,73.9491,8.559000000000026,0.278377,Growing season,Day,FALSE
LD,2025-08-12T14:30:00Z,-178.773,49.55,20.341000000000008,0.230977,Growing season,Day,FALSE
LD,2025-03-05T11:00:00Z,-178.35563000000002,0,7.357000000000028,0.572308,Winter window,Night,FALSE
LD,2025-11-24T08:30:00Z,-167.30525999999998,0,-1.3979999999999677,0.222597,Winter window,Night,FALSE
LD,2025-09-16T10:00:00Z,-165.9447,0,12.652000000000044,0.104143,Growing season,Night,FALSE
LD,2025-05-21T01:00:00Z,-155.19503,3.96838,7.736000000000047,0.786388,Growing season,Night,FALSE
MD,2025-02-18T17:00:00Z,-153.0972,NA,NA,0.493709,Winter window,NA,FALSE
LD,2025-08-25T12:30:00Z,-152.6542,178.729,12.836000000000013,0.209585,Growing season,Day,FALSE
LD,2025-09-04T13:00:00Z,-149.5567,230.853,10.43300000000005,0.170186,Growing season,Day,FALSE
LD,2025-05-17T07:00:00Z,-142.3552,0,13.826000000000022,0.280853,Growing season,Night,FALSE
LD,2025-06-04T13:00:00Z,-140.10953999999998,102.914,14.201000000000022,0.342755,Growing season,Day,FALSE
LD,2025-11-20T21:30:00Z,-138.16289999999998,3.86185,6.066000000000031,0.367352,Winter window,Night,FALSE
LD,2025-05-01T18:00:00Z,-136.284305,140.288,10.346000000000004,0.6178,Growing season,Day,FALSE
MD,2025-12-29T00:30:00Z,-136.16567400000002,0,2.3600000000000136,0.361121,Winter window,Night,FALSE
LD,2025-05-21T14:30:00Z,-134.43462,107.566,8.619000000000028,0.449116,Growing season,Day,FALSE
MD,2025-12-10T04:00:00Z,-131.3154,3.10647e-5,-0.9989999999999668,0.358101,Winter window,Night,FALSE
LD,2025-07-08T12:00:00Z,-127.3957,169.279,15.894000000000005,0.118605,Growing season,Day,FALSE
LD,2025-07-31T01:30:00Z,-125.50549000000001,1.21937,16.874000000000024,0.303219,Growing season,Night,FALSE
LD,2025-12-10T04:00:00Z,-124.6605,3.10647e-5,-0.9989999999999668,0.240967,Winter window,Night,FALSE
LD,2025-08-22T05:00:00Z,-124.19268000000001,0,18.432000000000016,0.181474,Growing season,Night,FALSE
LD,2025-10-04T04:30:00Z,-119.39981,3.50835e-4,15.78000000000003,0.171932,Growing season,Night,FALSE
LD,2025-11-26T07:00:00Z,-119.3805,0,8.603000000000009,0.487351,Winter window,Night,FALSE
LD,2025-08-19T09:30:00Z,-118.46900000000001,0,18.04000000000002,0.268579,Growing season,Night,FALSE
LD,2025-09-07T04:00:00Z,-117.99289999999999,0.00144624,6.013000000000034,0.113098,Growing season,Night,FALSE
LD,2025-05-01T09:30:00Z,-117.79604,0,9.501000000000033,0.413014,Growing season,Night,FALSE
MD,2025-08-30T07:30:00Z,-115.44140999999999,0,8.649000000000001,0.0990204,Growing season,Night,TRUE
LD,2025-12-10T07:30:00Z,-111.86049999999999,0,0.03400000000004866,0.298361,Winter window,Night,FALSE
LD,2025-10-19T16:30:00Z,-110.76939999999999,51.5544,10.384000000000015,0.798651,Growing season,Day,FALSE
MD,2025-01-23T12:00:00Z,-108.18871,1.95603e-4,-6.850999999999999,0.245423,Winter window,Night,FALSE
LD,2025-05-01T13:30:00Z,-105.54148599999999,47.8514,8.111000000000047,0.871185,Growing season,Day,FALSE
LD,2025-10-23T16:00:00Z,-102.890516,324.16,7.204000000000008,0.612955,Growing season,Day,FALSE
LD,2025-12-19T03:00:00Z,-101.96866999999999,0,2.9600000000000364,0.609948,Winter window,Night,FALSE
LD,2025-01-21T16:00:00Z,-101.8771,197.813,-17.37699999999998,0.419371,Winter window,Day,FALSE
MD,2025-05-17T02:30:00Z,-95.9336,8.16315e-4,20.200000000000045,1.04729,Growing season,Night,FALSE
LD,2025-10-16T13:30:00Z,-94.11789999999999,191.537,6.6860000000000355,0.135957,Growing season,Day,FALSE
MD,2025-03-05T10:00:00Z,-93.66308,0,6.858000000000004,0.787601,Winter window,Night,FALSE
MD,2025-10-24T13:30:00Z,-93.60310000000001,165.67,4.032000000000039,0.180561,Growing season,Day,FALSE
LD,2025-05-17T04:00:00Z,-93.2055,0,16.41700000000003,0.687099,Growing season,Night,FALSE
LD,2025-09-13T13:30:00Z,-92.63390000000001,111.621,16.12700000000001,0.252002,Growing season,Day,FALSE
LD,2025-05-21T13:30:00Z,-92.6157,64.4124,8.45700000000005,0.443346,Growing season,Day,FALSE
LD,2025-04-19T06:00:00Z,-88.7147,0,17.736000000000047,0.54761,Growing season,Night,FALSE
LD,2025-05-01T17:30:00Z,-88.11863,93.6517,9.4210000000000491,0.794501,Growing season,Day,FALSE
LD,2025-08-31T12:30:00Z,-87.8193,166.397,10.863,0.0595693,Growing season,Day,TRUE
LD,2025-04-14T03:00:00Z,-87.56720999999999,0,10.186000000000035,0.569726,Shoulder season,Night,FALSE
LD,2025-07-26T14:30:00Z,-87.389,103.966,21.992999999999995,0.278946,Growing season,Day,FALSE
MD,2025-11-24T05:30:00Z,-86.537032,0,-2.1299999999999955,0.0163232,Winter window,Night,TRUE
LD,2025-08-16T03:30:00Z,-86.32588,0,21.519000000000005,0.121556,Growing season,Night,FALSE
LD,2025-06-09T11:30:00Z,-85.6834,113.191,12.915999999999997,0.381181,Growing season,Day,FALSE
MD,2025-05-21T13:30:00Z,-85.06704,64.4124,8.45700000000005,0.5614,Growing season,Day,FALSE
LD,2025-04-15T15:00:00Z,-84.943213,322.017,2.6820000000000164,0.900752,Growing season,Day,FALSE
LD,2025-06-11T08:30:00Z,-84.2248,1.41517e-4,11.963000000000022,0.322843,Growing season,Night,FALSE
LD,2025-10-19T13:00:00Z,-83.92458,8.85889,12.66900000000004,0.298687,Growing season,Night,FALSE
MD,2025-12-29T03:30:00Z,-83.63326,0,3.563000000000045,0.825228,Winter window,Night,FALSE
LD,2025-04-05T09:30:00Z,-83.43753,0,3.4020000000000437,0.277979,Shoulder season,Night,FALSE
LD,2025-07-28T07:00:00Z,-82.73418,0,21.120000000000005,0.181542,Growing season,Night,FALSE
MD,2025-10-22T08:30:00Z,-81.58624,NA,NA,0.427155,Growing season,NA,FALSE
LD,2025-10-25T03:00:00Z,-80.90268,0,0.6920000000000073,0.089311,Growing season,Night,TRUE
LD,2025-10-19T01:00:00Z,-78.29568,0,15.720000000000027,0.164597,Growing season,Night,FALSE
LD,2025-05-21T13:00:00Z,-77.25408,53.0503,8.39100000000002,0.417976,Growing season,Day,FALSE
LD,2025-05-21T21:30:00Z,-74.6132,94.6747,8.5460000000000491,0.300588,Growing season,Day,FALSE
MD,2025-08-19T10:30:00Z,-74.54294,0.00147065,18.086000000000013,0.20822,Growing season,Night,FALSE
LD,2025-08-22T06:00:00Z,-73.5266559,0,16.462000000000046,0.144054,Growing season,Night,FALSE
LD,2025-08-19T09:00:00Z,-72.8255,0,18.011000000000024,0.219341,Growing season,Night,FALSE
MD,2025-08-28T13:30:00Z,-72.77619999999999,111.936,16.283000000000015,0.324249,Growing season,Day,FALSE
LD,2025-03-15T09:00:00Z,-72.66112000000001,0,14.870000000000005,0.470503,Winter window,Night,FALSE
LD,2025-08-19T05:00:00Z,-68.9669,0,19.114000000000033,0.529881,Growing season,Night,FALSE
MD,2025-01-12T20:30:00Z,-68.16770000000001,55.0502,-1.3559999999999945,0.473146,Winter window,Day,FALSE
LD,2025-07-09T06:00:00Z,-68.10746,0,18.837000000000046,0.138247,Growing season,Night,FALSE
LD,2025-09-07T08:30:00Z,-68.0873,0.0011886,5.829000000000008,0.0921464,Growing season,Night,TRUE
MD,2025-10-28T11:30:00Z,-67.8906,2.95855e-4,2.882000000000005,0.306231,Growing season,Night,FALSE
LD,2025-12-10T07:00:00Z,-67.49682,1.04042e-4,0.060000000000002274,0.528498,Winter window,Night,FALSE
MD,2025-06-19T00:00:00Z,-66.88704,23.9953,20.712000000000046,0.42311,Growing season,Day,FALSE
MD,2025-08-12T17:30:00Z,-65.9643,730.594,23.884000000000015,0.412827,Growing season,Day,FALSE
MD,2025-06-05T05:00:00Z,-65.2639,3.05717e-5,14.237000000000023,0.0947317,Growing season,Night,TRUE
LD,2025-09-27T13:00:00Z,-64.70960000000001,106.746,14.050000000000011,0.07347,Growing season,Day,TRUE
LD,2025-06-18T07:00:00Z,-64.59211443,0,19.352000000000032,0.188892,Growing season,Night,FALSE
LD,2025-04-15T22:30:00Z,-64.268355,68.51,6.497000000000014,0.762149,Growing season,Day,FALSE
LD,2025-09-16T13:30:00Z,-63.2218,253.838,15.968000000000018,0.134325,Growing season,Day,FALSE
LD,2025-09-03T18:00:00Z,-63.137249,147.953,17.293000000000006,0.368935,Growing season,Day,FALSE
LD,2025-09-21T01:30:00Z,-62.87299999999999,0.0010816,16.477000000000032,0.651691,Growing season,Night,FALSE
LD,2025-05-01T15:00:00Z,-62.38158,76.3902,8.117999999999995,0.972812,Growing season,Day,FALSE
LD,2025-10-07T02:30:00Z,-62.249590000000005,6.60745e-5,18.209000000000003,0.281423,Growing season,Night,FALSE
LD,2025-07-10T12:30:00Z,-62.2041,131.038,15.885000000000048,0.117229,Growing season,Day,FALSE
MD,2025-07-14T12:30:00Z,-62.1981,220.774,18.45300000000003,0.117404,Growing season,Day,FALSE
LD,2025-05-21T15:30:00Z,-61.9621,112.289,8.836000000000013,0.548772,Growing season,Day,FALSE
MD,2025-05-16T03:00:00Z,-61.83475,0.00692424,16.507000000000005,0.498976,Growing season,Night,FALSE
LD,2025-09-04T10:30:00Z,-61.80043,2.7983e-4,7.076000000000022,0.0449502,Growing season,Night,TRUE
LD,2025-05-21T17:30:00Z,-61.59922,159.323,8.963000000000022,0.348448,Growing season,Day,FALSE
LD,2025-07-10T12:00:00Z,-61.53848,62.8471,15.120000000000005,0.055338,Growing season,Day,TRUE
LD,2025-07-19T08:30:00Z,-61.13184,0,15.30600000000004,0.149619,Growing season,Night,FALSE
LD,2025-11-07T07:30:00Z,-60.81392,2.55421e-4,9.597000000000037,0.68603,Winter window,Night,FALSE
