site,DateTime,NEE_raw,Rg,Tair,Ustar,SeasonClass,DayNight,low_ustar_flag
LD,2025-09-13T13:00:00Z,474.07108,45.7834,15.359000000000037,0.23441,Growing season,Day,FALSE
LD,2025-07-17T07:30:00Z,440.18392,0,20.174000000000035,0.784553,Growing season,Night,FALSE
LD,2025-05-29T03:00:00Z,411.77430000000004,0,13.220000000000027,0.571272,Growing season,Night,FALSE
LD,2025-07-07T13:30:00Z,336.712,142.265,16.83200000000005,1.35596,Growing season,Day,FALSE
LD,2025-05-16T02:30:00Z,321.3636,0.00533993,20.497000000000014,0.314409,Growing season,Night,FALSE
LD,2025-05-29T03:30:00Z,297.163,0,13.174000000000035,0.706424,Growing season,Night,FALSE
LD,2025-07-17T08:00:00Z,267.35339999999997,0,19.359000000000037,0.968965,Growing season,Night,FALSE
LD,2025-08-26T13:00:00Z,252.457,261.212,12.645000000000039,0.220053,Growing season,Day,FALSE
LD,2025-05-20T22:00:00Z,238.86258,65.9871,10.039000000000044,0.64046,Growing season,Day,FALSE
MD,2025-04-20T07:00:00Z,234.7685,0,2.271000000000015,0.0194477,Growing season,Night,TRUE
LD,2025-04-05T10:00:00Z,230.33,0,3.170000000000016,0.347573,Shoulder season,Night,FALSE
LD,2025-05-01T10:30:00Z,207.45207000000002,0.0334086,8.123000000000047,0.870167,Growing season,Night,FALSE
LD,2025-12-29T07:30:00Z,188.30897199999998,0,0.5820000000000505,1.41714,Winter window,Night,FALSE
LD,2025-10-07T04:30:00Z,184.5762,0,17.616000000000042,0.330812,Growing season,Night,FALSE
MD,2025-10-19T12:00:00Z,180.49342000000001,0.0823996,12.954000000000008,0.384978,Growing season,Night,FALSE
LD,2025-04-18T22:00:00Z,178.9199,7.05564,18.795000000000016,0.536774,Growing season,Night,FALSE
LD,2025-05-21T14:00:00Z,175.036,70.8551,8.482000000000028,0.479043,Growing season,Day,FALSE
LD,2025-03-05T10:30:00Z,171.60751,0,6.93100000000004,0.470733,Winter window,Night,FALSE
LD,2025-08-21T07:00:00Z,170.8079,0,14.774000000000001,0.101472,Growing season,Night,FALSE
MD,2025-12-10T03:30:00Z,170.5215,5.1528e-5,-1.134999999999991,0.287677,Winter window,Night,FALSE
LD,2025-11-25T19:30:00Z,166.98101,58.3476,7.109000000000037,0.114264,Winter window,Day,FALSE
LD,2025-09-03T18:30:00Z,160.784275,144.125,17.843000000000018,0.552176,Growing season,Day,FALSE
LD,2025-08-12T21:00:00Z,154.579,32.731,20.891999999999996,0.21477,Growing season,Day,FALSE
LD,2025-05-13T06:30:00Z,150.688,0,17.951999999999998,0.279251,Growing season,Night,FALSE
LD,2025-07-17T07:00:00Z,150.2064,0,20.325000000000045,0.398444,Growing season,Night,FALSE
LD,2025-09-26T04:00:00Z,143.2106,0,13.451999999999998,0.0485428,Growing season,Night,TRUE
LD,2025-12-18T23:30:00Z,140.81118999999998,0,6.165999999999997,0.700059,Winter window,Night,FALSE
MD,2025-08-28T12:30:00Z,138.50045999999998,19.1391,15.272000000000048,0.199008,Growing season,Day,FALSE
LD,2025-10-14T13:30:00Z,137.0939,183.498,12.640000000000043,0.219991,Growing season,Day,FALSE
MD,2025-12-28T15:30:00Z,121.5984,9.43118,1.9390000000000214,0.194964,Winter window,Night,FALSE
LD,2025-05-01T13:00:00Z,117.36488,34.9728,7.973000000000013,0.763712,Growing season,Day,FALSE
MD,2025-12-28T20:30:00Z,116.74183000000001,24.2888,3.160000000000025,0.375841,Winter window,Day,FALSE
LD,2025-06-13T10:30:00Z,116.417,6.59037,13.848000000000013,0.510781,Growing season,Night,FALSE
LD,2025-08-28T14:00:00Z,110.699442,224.936,16.661,0.354975,Growing season,Day,FALSE
LD,2025-03-05T09:30:00Z,108.87016,0,6.608000000000004,0.536994,Winter window,Night,FALSE
LD,2025-07-10T08:30:00Z,108.28,0,15.148000000000025,0.0748978,Growing season,Night,TRUE
LD,2025-04-26T02:30:00Z,106.99547,0,10.634000000000015,0.443672,Growing season,Night,FALSE
LD,2025-03-05T12:00:00Z,106.13917000000001,0.0231045,8.078000000000031,0.445614,Winter window,Night,FALSE
LD,2025-11-26T15:30:00Z,104.226367,80.6442,1.004000000000019,0.880781,Winter window,Day,FALSE
LD,2025-05-01T10:00:00Z,103.631874,1.47917e-6,8.423000000000002,0.893457,Growing season,Night,FALSE
