site,MonthStart,NEE,GPP,Reco,cov_NEE,cov_GPP,cov_Reco
LD,2025-01-01,31.841500970794783,5.5914711168157085,37.432972087610494,1,1,1
LD,2025-02-01,28.094179059677444,3.7282304969456135,31.822409556623054,1,1,1
LD,2025-03-01,45.0045990603605,26.884043974636725,71.88864303499722,1,1,1
LD,2025-04-01,-35.212424069971334,121.3377446788509,86.12532060887956,1,1,1
LD,2025-05-01,-84.85200075091146,265.90896655427207,181.05696580336058,1,1,1
LD,2025-06-01,-111.69353415112617,357.5420544950273,245.84852034390113,1,1,1
LD,2025-07-01,-123.6070298185921,294.07429965271126,170.46726983411915,1,1,1
LD,2025-08-01,-80.82101874047348,265.70189835936685,184.88087961889337,1,1,1
LD,2025-09-01,-54.70101650986487,273.21505074324784,218.51403423338294,1,1,1
LD,2025-10-01,-19.682420978383455,183.57753561203523,163.8951146336518,1,1,1
LD,2025-11-01,42.1503386560573,52.87010321752549,95.0204418735828,1,1,1
LD,2025-12-01,51.039949164920536,-2.823056479882739,48.2168926850378,1,1,1
LD,2026-01-01,NA,NA,NA,0,0,0
MD,2025-01-01,23.927141718871038,10.217902062618363,34.1450437814894,1,1,1
MD,2025-02-01,20.921494558667316,8.083542105534853,29.005036664202173,1,1,1
MD,2025-03-01,0.9593963666197145,54.202851669694915,55.16224803631464,1,1,1
MD,2025-04-01,-30.3231747805898,102.91005148802758,72.58687670743778,1,1,1
MD,2025-05-01,-77.81820113790394,300.53799840419134,222.7197972662874,1,1,1
MD,2025-06-01,-141.9698875305673,412.24612758990713,270.2762400593399,1,1,1
MD,2025-07-01,-156.2206629555429,337.20574711726164,180.98508416171876,1,1,1
MD,2025-08-01,-100.40597915309405,332.4466640962324,232.0406849431383,1,1,1
MD,2025-09-01,-85.64986258626155,323.6276146504134,237.97775206415187,1,1,1
MD,2025-10-01,-9.04148409960622,189.35680756235288,180.31532346274665,1,1,1
MD,2025-11-01,29.131415521127863,50.055859359218374,79.18727488034622,1,1,1
MD,2025-12-01,41.10184030247524,8.883921351353111,49.985761653828355,1,1,1
MD,2026-01-01,NA,NA,NA,0,0,0
