site,SeasonClass,DayNight,n,min,p0.5,p1,p5,median,p95,p99,p99.5,max
LD,Growing season,Day,4904,-445.53589999999997,-64.482358825,-46.9483299,-22.79808885,-9.842678,5.697997699999992,33.95358500000012,56.45400449999997,474.07108
LD,Growing season,Night,4066,-207.315,-73.29878023250001,-47.06932450000001,-12.52963,3.7513065,15.899345,55.3115669999999,89.33849150000073,440.18392
LD,Shoulder season,Day,286,-229.71369,-40.9902165,-29.414043000000003,-8.730843275,-2.77532275,3.133846075,15.791413499999953,18.254724749999983,23.653100000000002
LD,Shoulder season,Night,298,-87.56720999999999,-65.88662645,-36.6780797,-8.5063265,1.4834706,9.734051214999987,40.96744205999986,52.98149204999981,230.33
LD,Winter window,Day,1934,-101.8771,-24.649121199999996,-13.523046299999997,-5.988133384999999,0.430908,5.712800549999994,20.74466940000002,41.572862850000014,166.98101
LD,Winter window,Night,3942,-178.35563000000002,-37.428034499999995,-21.6069008,-2.7446894999999993,1.207357515,5.0623482,25.286397000000107,36.64494545000001,188.30897199999998
MD,Growing season,Day,4810,-93.60310000000001,-36.40552055,-31.610016498,-24.145974950000003,-11.2755355,5.0657537,16.061136009999945,26.518862849999937,138.50045999999998
MD,Growing season,Night,3975,-115.44140999999999,-28.465518279999998,-18.7898578,-3.4552329999999998,4.16989,13.802069499999998,33.95877431999999,48.87860410000014,234.7685
MD,Shoulder season,Day,76,-9.928861999999999,-9.920566999999998,-9.912272000000002,-8.0238747,-3.6251226,2.059032925,3.6749480000000005,5.176071500000001,6.677195
MD,Shoulder season,Night,67,-29.76577,-28.75259839,-27.739426780000002,-3.3335929999999996,1.783793,5.887759599999999,11.294895760000031,14.276829880000015,17.258764
MD,Winter window,Day,1716,-264.7094,-35.5864433,-21.2475375,-6.190539,0.3015465,3.2884162749999994,17.052748999999995,23.43515624999995,116.74183000000001
MD,Winter window,Night,3545,-255.5694,-35.1763464,-18.45739732,-1.1446999999999998,1.1080655,4.465577199999985,17.313875999999983,24.887775600000047,170.5215
