plot_page,event_id,site,DateTime,NEE_raw,NEE_lag,NEE_lead,Rg,Tair,Ustar,qc_co2_flux,signal_strength,wind_dir
1,LD_Winter_positive_nighttime_NEE_20250103_0600,LD,2025-01-03T11:00:00Z,24.215688,0.24120100000000003,0.281759,1.94771e-5,-6.113999999999976,0.439967,0,99,293.523
2,LD_Winter_positive_nighttime_NEE_20250121_0200,LD,2025-01-21T07:00:00Z,25.597299999999997,-22.8068,21.38129,5.47332e-5,-16.56099999999998,0.254413,1,8,270.554
3,LD_Winter_positive_nighttime_NEE_20250121_0230,LD,2025-01-21T07:30:00Z,21.38129,25.597299999999997,0.573374,0,-16.613999999999976,0.239704,1,4,273.113
4,LD_Winter_positive_nighttime_NEE_20250304_2100,LD,2025-03-05T02:00:00Z,12.38267,5.3209599999999995,-5.869809999999999,0,5.532000000000039,0.184587,0,31,121.439
5,LD_Winter_positive_nighttime_NEE_20250304_2300,LD,2025-03-05T04:00:00Z,24.839,7.756454,-2.666975,0,5.532000000000039,0.277235,1,31,92.7417
6,LD_Winter_positive_nighttime_NEE_20250305_0130,LD,2025-03-05T06:30:00Z,16.296364999999998,-36.0196,6.98715,0,5.872000000000014,0.453596,2,14,96.3053
7,LD_Winter_positive_nighttime_NEE_20250305_0500,LD,2025-03-05T10:00:00Z,27.495307,108.87016,171.60751,0,6.858000000000004,0.586794,1,17,102.324
8,LD_Winter_positive_nighttime_NEE_20250305_0800,LD,2025-03-05T13:00:00Z,23.007869999999997,-50.3242,9.50445,7.28157,8.208000000000027,0.378261,1,NA,136.09
9,LD_Winter_positive_nighttime_NEE_20250305_1900,LD,2025-03-06T00:00:00Z,30.5022258,1.94556,6.78042,1.09682,0.34700000000003683,0.889438,0,44,294.226
10,LD_Winter_positive_nighttime_NEE_20250305_2030,LD,2025-03-06T01:30:00Z,12.068539999999999,10.04842,-12.03438,0,-0.9759999999999991,1.00922,1,79,295.909
11,LD_Winter_positive_nighttime_NEE_20250315_0600,LD,2025-03-15T10:00:00Z,14.061325,0.55952,7.594352,0,11.811000000000035,0.254175,1,43,119.192
12,LD_Winter_positive_nighttime_NEE_20250315_0730,LD,2025-03-15T11:30:00Z,36.3594,0.59693,4.04713,0.00162696,13.258000000000038,0.528815,0,41,136.693
13,LD_Winter_positive_nighttime_NEE_20250315_0830,LD,2025-03-15T12:30:00Z,24.49009,4.04713,-6.318304,9.65123,14.237000000000023,0.518518,1,50,166.436
14,LD_Winter_positive_nighttime_NEE_20250316_0130,LD,2025-03-16T05:30:00Z,20.993769999999998,-11.940301,-5.23396,0,5.4360000000000355,0.32226,1,69,299.236
15,LD_Winter_positive_nighttime_NEE_20250319_2030,LD,2025-03-20T00:30:00Z,17.03577,-4.642287100000001,1.27597,0.0845879,15.950000000000045,0.603893,1,85,183.996
16,LD_Winter_positive_nighttime_NEE_20250319_2130,LD,2025-03-20T01:30:00Z,28.05869,1.27597,-0.5591697,0,14.867999999999995,0.512933,1,77,149.435
17,LD_Winter_positive_nighttime_NEE_20250322_0030,LD,2025-03-22T04:30:00Z,32.059000000000005,6.109775,44.480599999999995,0,7.480000000000018,0.513231,1,78,237.925
18,LD_Winter_positive_nighttime_NEE_20250322_0100,LD,2025-03-22T05:00:00Z,44.480599999999995,32.059000000000005,-1.6878499999999999,4.43783e-6,6.314999999999998,0.414246,1,51,243.127
19,LD_Winter_positive_nighttime_NEE_20250330_0830,LD,2025-03-30T12:30:00Z,37.3292,1.3110548000000002,-32.66185,7.27234,3.7480000000000473,0.235646,1,6,90.0353
20,LD_Winter_positive_nighttime_NEE_20250330_1900,LD,2025-03-30T23:00:00Z,22.773743,-45.557050000000004,-33.14554,1.98056,13.772000000000048,0.569716,0,28,208.834
21,LD_Winter_positive_nighttime_NEE_20250331_0600,LD,2025-03-31T10:00:00Z,16.115173,9.469567,1.13359,0,0.17200000000002547,0.563565,1,94,295.614
22,LD_Winter_positive_nighttime_NEE_20251102_0130,LD,2025-11-02T06:30:00Z,16.052410000000002,2.2318116,-7.910800000000002,3.52067e-4,0.5460000000000491,0.0851334,1,39,135.365
23,LD_Winter_positive_nighttime_NEE_20251102_0400,LD,2025-11-02T09:00:00Z,21.16778,10.50126,13.628241,0,-0.6879999999999882,0.14536,1,17,274.614
24,LD_Winter_positive_nighttime_NEE_20251102_0430,LD,2025-11-02T09:30:00Z,13.628241,21.16778,-1.3900080000000001,0,-0.2740000000000009,0.0944334,2,20,254.139
25,LD_Winter_positive_nighttime_NEE_20251107_0300,LD,2025-11-07T08:00:00Z,18.371769999999998,-60.81392,0.8609900000000001,0,7.590000000000032,0.401244,2,60,171.191
26,LD_Winter_positive_nighttime_NEE_20251107_0500,LD,2025-11-07T10:00:00Z,18.46849,6.14453,1.9248300000000003,1.13411e-5,5.876000000000033,0.246615,0,25,169.628
27,LD_Winter_positive_nighttime_NEE_20251107_1930,LD,2025-11-08T00:30:00Z,16.031691,2.985908,20.32564,0,9.210000000000036,0.420466,1,100,304.248
28,LD_Winter_positive_nighttime_NEE_20251107_2000,LD,2025-11-08T01:00:00Z,20.32564,16.031691,5.52262,0,8.600000000000023,0.392403,1,71,306.614
29,LD_Winter_positive_nighttime_NEE_20251111_0500,LD,2025-11-11T10:00:00Z,12.404879999999999,0.9271699999999998,-0.14527,1.2919e-4,-1.1970000000000027,0.214637,1,97,238.719
30,LD_Winter_positive_nighttime_NEE_20251122_0230,LD,2025-11-22T07:30:00Z,28.73136,56.44669999999999,0.9569390000000001,0,-2.4699999999999704,0.0745524,1,20,107.158
31,LD_Winter_positive_nighttime_NEE_20251122_0730,LD,2025-11-22T12:30:00Z,13.1488,NA,-3.0637130000000004,0.142994,-3.801999999999964,0.0448125,2,13,206.588
32,LD_Winter_positive_nighttime_NEE_20251122_1730,LD,2025-11-22T22:30:00Z,15.62076,1.0879861999999998,-0.32998099999999997,0.714618,4.6299999999999955,0.268765,2,87,209.835
33,LD_Winter_positive_nighttime_NEE_20251124_2200,LD,2025-11-25T03:00:00Z,13.35604,3.596682,-1.06055,0,7.057000000000016,0.328548,1,87,157.347
34,LD_Winter_positive_nighttime_NEE_20251125_0800,LD,2025-11-25T13:00:00Z,12.518740000000001,1.874346,1.1969499999999993,0.697486,6.420000000000016,0.162633,1,94,101.486
35,LD_Winter_positive_nighttime_NEE_20251126_0230,LD,2025-11-26T07:30:00Z,43.205,-119.3805,-40.0326,0,8.783000000000015,0.58198,2,49,196.238
36,LD_Winter_positive_nighttime_NEE_20251126_0330,LD,2025-11-26T08:30:00Z,36.62916,-40.0326,-1.4398799999999998,0,5.347000000000037,0.676672,1,70,243.428
37,LD_Winter_positive_nighttime_NEE_20251126_0800,LD,2025-11-26T13:00:00Z,26.56942,-0.607262,29.73896,0.368491,2.180000000000007,0.916894,2,90,222.023
38,LD_Winter_positive_nighttime_NEE_20251126_0830,LD,2025-11-26T13:30:00Z,29.73896,26.56942,7.845470000000001,5.81328,1.9430000000000405,0.808745,0,66,224.176
39,LD_Winter_positive_nighttime_NEE_20251210_0000,LD,2025-12-10T05:00:00Z,20.433660000000003,-48.6816,2.0466000000000015,1.19821e-4,-0.5960000000000036,0.25145,2,11,112.708
40,LD_Winter_positive_nighttime_NEE_20251210_0100,LD,2025-12-10T06:00:00Z,28.3082,2.0466000000000015,12.871005,4.3392e-5,-0.2489999999999668,0.293844,2,2,114.262
41,LD_Winter_positive_nighttime_NEE_20251210_0130,LD,2025-12-10T06:30:00Z,12.871005,28.3082,-67.49682,4.0187e-5,-0.03899999999998727,0.329539,0,15,118.539
42,LD_Winter_positive_nighttime_NEE_20251210_0330,LD,2025-12-10T08:30:00Z,21.498,-111.86049999999999,NA,0,0.036000000000001364,0.295269,2,34,114.882
43,LD_Winter_positive_nighttime_NEE_20251218_0530,LD,2025-12-18T10:30:00Z,28.916230000000002,1.1765743,49.175200000000004,0,3.6370000000000005,0.406214,1,91,144.264
44,LD_Winter_positive_nighttime_NEE_20251218_0600,LD,2025-12-18T11:00:00Z,49.175200000000004,28.916230000000002,-26.201839999999997,0,3.7030000000000314,0.457448,1,68,141.705
45,LD_Winter_positive_nighttime_NEE_20251218_0800,LD,2025-12-18T13:00:00Z,22.22207,55.69837,-4.00729,0.0910207,4.386000000000024,0.649698,1,37,168.06
46,LD_Winter_positive_nighttime_NEE_20251218_1830,LD,2025-12-18T23:30:00Z,140.81118999999998,-12.765419999999999,24.72197,0,6.165999999999997,0.700059,1,63,252.392
47,LD_Winter_positive_nighttime_NEE_20251218_1900,LD,2025-12-19T00:00:00Z,24.72197,140.81118999999998,6.1221211,0,3.8740000000000236,0.516659,1,49,261.448
48,LD_Winter_positive_nighttime_NEE_20251222_2230,LD,2025-12-23T03:30:00Z,42.14898,68.1624,-16.36978,0,2.365000000000009,0.385466,1,83,142.153
49,LD_Winter_positive_nighttime_NEE_20251223_0130,LD,2025-12-23T06:30:00Z,22.42299,-18.637286,25.780230000000003,0,1.6820000000000164,0.203836,2,81,140.397
50,LD_Winter_positive_nighttime_NEE_20251223_0200,LD,2025-12-23T07:00:00Z,25.780230000000003,22.42299,2.92754,0,1.4770000000000323,0.172746,1,59,130.852
