Year,Date,PlotDate,Daily_precipitation_mm,Cumulative_precipitation_mm
2024,2024-03-28,2000-03-28,0,0
2024,2024-03-29,2000-03-29,0,0
2024,2024-03-30,2000-03-30,1.2,1.2
2024,2024-03-31,2000-03-31,0.1,1.3
2024,2024-04-01,2000-04-01,0.6,1.9
2024,2024-04-02,2000-04-02,13.8,15.700000000000001
2024,2024-04-03,2000-04-03,5.5,21.200000000000003
2024,2024-04-04,2000-04-04,1.8,23.000000000000004
2024,2024-04-05,2000-04-05,0.5,23.500000000000004
2024,2024-04-06,2000-04-06,0,23.500000000000004
2024,2024-04-07,2000-04-07,0,23.500000000000004
2024,2024-04-08,2000-04-08,1.3,24.800000000000004
2024,2024-04-09,2000-04-09,0,24.800000000000004
2024,2024-04-10,2000-04-10,0,24.800000000000004
2024,2024-04-11,2000-04-11,2.7,27.500000000000004
2024,2024-04-12,2000-04-12,6.4,33.900000000000006
2024,2024-04-13,2000-04-13,0,33.900000000000006
2024,2024-04-14,2000-04-14,0,33.900000000000006
2024,2024-04-15,2000-04-15,0,33.900000000000006
2024,2024-04-16,2000-04-16,0,33.900000000000006
2024,2024-04-17,2000-04-17,7.3,41.2
2024,2024-04-18,2000-04-18,0.2,41.400000000000006
2024,2024-04-19,2000-04-19,0.8,42.2
2024,2024-04-20,2000-04-20,0,42.2
2024,2024-04-21,2000-04-21,0,42.2
2024,2024-04-22,2000-04-22,0,42.2
2024,2024-04-23,2000-04-23,0,42.2
2024,2024-04-24,2000-04-24,0,42.2
2024,2024-04-25,2000-04-25,0,42.2
2024,2024-04-26,2000-04-26,0,42.2
2024,2024-04-27,2000-04-27,4.4,46.6
2024,2024-04-28,2000-04-28,4.6,51.2
2024,2024-04-29,2000-04-29,9.2,60.400000000000006
2024,2024-04-30,2000-04-30,0,60.400000000000006
2024,2024-05-01,2000-05-01,0,60.400000000000006
2024,2024-05-02,2000-05-02,0,60.400000000000006
2024,2024-05-03,2000-05-03,8,68.4
2024,2024-05-04,2000-05-04,0,68.4
2024,2024-05-05,2000-05-05,1.5,69.9
2024,2024-05-06,2000-05-06,0,69.9
2024,2024-05-07,2000-05-07,4.9,74.80000000000001
2024,2024-05-08,2000-05-08,1.9,76.70000000000002
2024,2024-05-09,2000-05-09,0,76.70000000000002
2024,2024-05-10,2000-05-10,0,76.70000000000002
2024,2024-05-11,2000-05-11,5.3,82.00000000000001
2024,2024-05-12,2000-05-12,0,82.00000000000001
2024,2024-05-13,2000-05-13,3.2,85.20000000000002
2024,2024-05-14,2000-05-14,0,85.20000000000002
2024,2024-05-15,2000-05-15,0,85.20000000000002
2024,2024-05-16,2000-05-16,0,85.20000000000002
2024,2024-05-17,2000-05-17,0,85.20000000000002
2024,2024-05-18,2000-05-18,0,85.20000000000002
2024,2024-05-19,2000-05-19,0,85.20000000000002
