Week,Paired_days,Weekly_difference_MD_minus_LD,Advantage,Bar_color
2024-01-01,7,-1.4489845212204,MD,#D55E00
2024-01-08,7,0.07952650313972942,LD,#0072B2
2024-01-15,7,0.8212007083114067,LD,#0072B2
2024-01-22,7,17.141784214147044,LD,#0072B2
2024-01-29,7,-0.2598915539975124,MD,#D55E00
2024-02-05,7,-1.1912370494120834,MD,#D55E00
2024-02-12,7,-3.687556552670178,MD,#D55E00
2024-02-19,7,-0.41889905438767394,MD,#D55E00
2024-02-26,7,-1.7083208545383486,MD,#D55E00
2024-03-04,7,-2.997317858481364,MD,#D55E00
2024-03-11,7,-7.2431553971460945,MD,#D55E00
2024-03-18,7,-9.735393552845796,MD,#D55E00
2024-03-25,7,3.357014128487154,LD,#0072B2
2024-04-01,7,7.217152704340123,LD,#0072B2
2024-04-08,7,2.7796099918088144,LD,#0072B2
2024-04-15,7,-2.6819453199468963,MD,#D55E00
2024-04-22,7,-4.585946933699018,MD,#D55E00
2024-04-29,7,-3.491543789891587,MD,#D55E00
2024-05-06,7,0.44767724464655445,LD,#0072B2
2024-05-13,7,5.020779795389206,LD,#0072B2
2024-05-20,7,14.133048440556411,LD,#0072B2
2024-05-27,7,10.138147079319712,LD,#0072B2
2024-06-03,7,-20.425395370319514,MD,#D55E00
2024-06-10,7,-14.475360810218316,MD,#D55E00
2024-06-17,7,-14.232617123054869,MD,#D55E00
2024-06-24,7,-1.793063246295426,MD,#D55E00
2024-07-01,7,-0.5290980734228339,MD,#D55E00
2024-07-08,7,3.394149208090563,LD,#0072B2
2024-07-15,7,-3.300460956548044,MD,#D55E00
2024-07-22,7,-3.776290687459755,MD,#D55E00
2024-07-29,7,-1.6648906396344592,MD,#D55E00
2024-08-05,7,1.85516769289302,LD,#0072B2
2024-08-12,7,0.08095046473987955,LD,#0072B2
2024-08-19,7,12.240579563388096,LD,#0072B2
2024-08-26,7,1.678047288311732,LD,#0072B2
2024-09-02,7,-4.97570540660487,MD,#D55E00
2024-09-09,7,-2.81025235813481,MD,#D55E00
2024-09-16,7,3.634704860867818,LD,#0072B2
2024-09-23,7,-6.106343049990368,MD,#D55E00
2024-09-30,7,-9.173533349279069,MD,#D55E00
2024-10-07,7,-13.99411889628527,MD,#D55E00
2024-10-14,7,-6.238252694823525,MD,#D55E00
2024-10-21,7,-6.007603660588501,MD,#D55E00
2024-10-28,7,-2.772482559708214,MD,#D55E00
2024-11-04,7,-2.9781282865584515,MD,#D55E00
2024-11-11,7,3.554234628460345,LD,#0072B2
2024-11-18,7,6.662777162513876,LD,#0072B2
2024-11-25,7,1.4490560658390568,LD,#0072B2
2024-12-02,7,3.0015032191524647,LD,#0072B2
2024-12-09,7,11.155131807958629,LD,#0072B2
2024-12-16,7,-2.7295522055898838,MD,#D55E00
2024-12-23,7,2.040024814945482,LD,#0072B2
2024-12-30,7,0.5017325738606664,LD,#0072B2
2025-01-06,7,-2.8404723628795496,MD,#D55E00
2025-01-13,7,-0.7429707485045085,MD,#D55E00
2025-01-20,7,-1.494958516065216,MD,#D55E00
2025-01-27,7,-2.024338091083355,MD,#D55E00
2025-02-03,7,-5.480351325908129,MD,#D55E00
2025-02-10,7,-1.3343261787805532,MD,#D55E00
2025-02-17,7,-0.046975215817274485,MD,#D55E00
2025-02-24,7,-1.0072680431637182,MD,#D55E00
2025-03-03,7,-4.135151436658252,MD,#D55E00
2025-03-10,7,-10.638663804792513,MD,#D55E00
2025-03-17,7,-5.604923150177711,MD,#D55E00
2025-03-24,7,-21.24832924443303,MD,#D55E00
2025-03-31,7,-6.115962247049904,MD,#D55E00
2025-04-07,7,-2.308852027791821,MD,#D55E00
2025-04-14,7,5.0846751903655445,LD,#0072B2
2025-04-21,7,5.201764361299071,LD,#0072B2
2025-04-28,7,-3.4859273737699206,MD,#D55E00
2025-05-05,7,4.435850824980614,LD,#0072B2
2025-05-12,7,4.529832909327016,LD,#0072B2
2025-05-19,7,1.1380838269382099,LD,#0072B2
2025-05-26,7,5.135962311756879,LD,#0072B2
2025-06-02,7,4.234219885435165,LD,#0072B2
2025-06-09,7,-13.330357521703128,MD,#D55E00
2025-06-16,7,-10.76611726034103,MD,#D55E00
2025-06-23,7,-12.192644405027071,MD,#D55E00
2025-06-30,7,-7.697381715676629,MD,#D55E00
2025-07-07,7,-9.149403107565577,MD,#D55E00
2025-07-14,7,-12.536659657797344,MD,#D55E00
2025-07-21,7,-6.565242174879858,MD,#D55E00
2025-07-28,7,-4.16468846871344,MD,#D55E00
2025-08-04,7,-11.033046558764447,MD,#D55E00
2025-08-11,7,-4.369859297215826,MD,#D55E00
2025-08-18,7,-7.04768110203889,MD,#D55E00
2025-08-25,7,8.216454290505752,LD,#0072B2
2025-09-01,7,2.158554510555544,LD,#0072B2
2025-09-08,7,-5.644305186974682,MD,#D55E00
2025-09-15,7,-15.809786650993093,MD,#D55E00
2025-09-22,7,-14.271322824586047,MD,#D55E00
2025-09-29,7,1.8527999556217887,LD,#0072B2
2025-10-06,7,13.961527585989874,LD,#0072B2
2025-10-13,7,-0.5702274371323699,MD,#D55E00
2025-10-20,7,0.09121752283625895,LD,#0072B2
2025-10-27,7,-4.354189182052304,MD,#D55E00
2025-11-03,7,-1.908442191155967,MD,#D55E00
2025-11-10,7,-2.1255021031819217,MD,#D55E00
2025-11-17,7,-2.894631211198371,MD,#D55E00
2025-11-24,7,-3.812525120277604,MD,#D55E00
2025-12-01,7,-1.75198891054738,MD,#D55E00
2025-12-08,7,-6.267835959981585,MD,#D55E00
2025-12-15,7,0.6336925454495438,LD,#0072B2
2025-12-22,7,-0.799795422889571,MD,#D55E00
2025-12-29,3,-1.752181114476289,MD,#D55E00
