year,Period,LD,MD,MD - LD,p_value_numeric
2024,Annual NEE,-320,-365,-45,NA
2024,Annual NECB,-143,-28,115,NA
2024,NGS-1 NEE,68.76905785139508,61.63666315966605,-7.13239469172902,0.6732334709865182
2024,Growing-season NEE,-462.1514277726059,-522.7197748144813,-60.568347041875256,0.030774774375400493
2024,NGS-2 NEE,72.90340190994463,95.85323902927128,22.949837119326652,0.023917113447890204
2025,Annual NEE,-312,-485,-173,NA
2025,Annual NECB,-244,-154,90,NA
2025,NGS-1 NEE,99.39585106157693,34.04907480822982,-65.34677625334707,1.4987095374656343e-7
2025,Growing-season NEE,-505.02501699006683,-589.6702944076376,-84.64527741757051,7.34577658611693e-4
2025,NGS-2 NEE,93.19028782097784,70.23325582360313,-22.95703199737471,1.834551858564689e-4
